Pond #,Site,Replicate,Analyzing Date,Sample Date,Weight (g),Height,Hg [ng],Concentration (µg/kg),DataSource
118,Off,,2023-07-27,2021-06-06,0.0895,0.234561,6.2135,69.4245,THG
118,0m,,2023-07-27,2021-06-06,0.0909,0.203062,5.3167,58.49,THG
118,2m,,2023-07-27,2021-06-06,0.0918,0.137,3.436,37.429,THG
118,4m,,2023-07-27,2021-06-06,0.0907,0.1642,4.2104,46.4206,THG
6,Off,,2023-07-27,2021-06-06,0.0913,0.222786,5.8783,64.384,THG
6,0m,,2023-07-27,2021-06-06,0.0872,0.154661,3.9388,45.1695,THG
6,2m,,2023-07-27,2021-06-06,0.0887,0.14877,3.7711,42.5149,THG
6,4m,,2023-07-27,2021-06-06,0.088,0.235182,6.2312,70.8087,THG
109,Off,,2023-07-27,2021-06-06,0.09,0.44527,12.2122,135.6915,THG
109,0m,,2023-07-27,2021-06-06,0.0877,0.163806,4.1991,47.8808,THG
109,2m,,2023-07-27,2021-06-06,0.0895,0.149326,3.7869,42.3116,THG
109,4m,,2023-07-27,2021-06-06,0.0907,0.1328,3.3164,36.5646,THG
125,Off,,2023-07-27,2021-06-06,0.0908,0.0718,1.5798,17.3985,THG
125,0m,,2023-07-27,2021-06-06,0.0925,0.0637,1.3492,14.5857,THG
125,2m,,2023-07-27,2021-06-06,0.0906,0.05877,1.2088,13.3425,THG
125,4m,,2023-07-27,2021-06-06,0.0927,0.0543,1.0816,11.6674,THG
124,Off,,2023-07-27,2021-06-06,0.0907,0.229049,6.0566,66.7759,THG
124,0m,,2023-07-27,2021-06-06,0.0905,0.215788,5.679,62.7518,THG
124,2m,,2023-07-27,2021-06-06,0.09,0.188498,4.9021,54.4677,THG
124,4m,,2023-07-27,2021-06-06,0.0921,0.172163,4.4371,48.1766,THG
2,Off,,2023-07-27,2021-06-06,0.0902,0.272689,7.299,80.92,THG
2,0m,,2023-07-27,2021-06-06,0.0889,0.195597,5.1042,57.4152,THG
2,2m,,2023-07-27,2021-06-06,0.0895,0.254189,6.7723,75.6679,THG
2,4m,,2023-07-27,2021-06-06,0.0923,0.268388,7.1765,77.7521,THG
15,Off,1,2023-07-28,2021-06-06,0.0905,0.20266,5.3053,58.6218,THG
15,Off,2,2023-07-28,2021-06-06,0.0896,0.215926,5.683,63.426,THG
15,0m,,2023-07-28,2021-06-06,0.0924,0.125863,3.1189,33.7546,THG
15,2m,,2023-07-28,2021-06-06,0.0926,0.0782,1.762,19.0279,THG
15,4m,,2023-07-28,2021-06-06,0.0873,0.087571,2.0288,23.239,THG
37,Off,1,2023-07-28,2021-06-06,0.0894,0.28748,7.7201,86.3541,THG
37,Off,2,2023-07-28,2021-06-06,0.088,0.244373,6.4928,73.782,THG
37,0m,,2023-07-28,2021-06-06,0.0891,0.259991,6.9375,77.8615,THG
37,2m,,2023-07-28,2021-06-06,0.092,0.242391,6.4364,69.9608,THG
37,4m,,2023-07-28,2021-06-06,0.0908,0.218391,5.7531,63.3605,THG
25,Off,1,2023-07-28,2021-06-06,0.0898,0.223088,5.8869,65.5552,THG
25,Off,2,2023-07-28,2021-06-06,0.0883,0.231588,6.1288,69.4093,THG
25,0m,,2023-07-28,2021-06-06,0.0919,0.182891,4.7425,51.6046,THG
25,2m,,2023-07-28,2021-06-06,0.089,0.193791,5.0528,56.7728,THG
25,4m,,2023-07-28,2021-06-06,0.0903,0.189765,4.9382,54.6861,THG
35,Off,1,2023-07-28,2021-06-06,0.0925,0.22279,5.8784,63.55,THG
35,Off,2,2023-07-28,2021-06-06,0.0894,0.178865,4.6279,51.7658,THG
35,0m,,2023-07-28,2021-06-06,0.092,0.245756,6.5322,71.0023,THG
35,2m,,2023-07-28,2021-06-06,0.0917,0.188893,4.9133,53.5805,THG
35,4m,,2023-07-28,2021-06-06,0.0899,0.181289,4.6969,52.2455,THG
97,Off,1,2023-07-28,2021-06-06,0.0921,0.160007,4.091,44.4188,THG
97,Off,2,2023-07-28,2021-06-06,0.0888,0.149663,3.7965,42.7532,THG
97,0m,,2023-07-28,2021-06-06,0.0897,0.141491,3.5638,39.7307,THG
97,2m,,2023-07-28,2021-06-06,0.0909,0.170327,4.3848,48.2376,THG
97,4m,,2023-07-28,2021-06-06,0.0899,0.118963,2.9225,32.5082,THG
124,Off,1,2023-08-01,2021-06-23,0.0915,0.1902,4.9506,54.1044,THG
124,Off,2,2023-08-01,2021-06-23,0.0882,0.192803,5.0247,56.969,THG
124,Off,3,2023-08-01,2021-06-23,0.088,0.186893,4.8564,55.1864,THG
124,0m,,2023-08-01,2021-06-23,0.0916,0.413947,11.3205,123.5861,THG
124,2m,,2023-08-01,2021-06-23,0.09,0.201481,5.2717,58.5745,THG
124,4m,,2023-08-01,2021-06-23,0.0899,0.174228,4.4958,50.0093,THG
25,Off,1,2023-08-01,2021-06-23,0.0913,0.46251,12.703,139.1352,THG
25,Off,2,2023-08-01,2021-06-23,0.09,0.50383,13.8794,154.2155,THG
25,Off,3,2023-08-01,2021-06-23,0.091,0.495825,13.6515,150.0166,THG
25,0m,,2023-08-01,2021-06-23,0.0919,0.418238,11.4427,124.5122,THG
25,2m,,2023-08-01,2021-06-23,0.0885,0.247379,6.5784,74.3322,THG
25,4m,,2023-08-01,2021-06-23,0.0905,0.160091,4.0934,45.2307,THG
97,Off,1,2023-08-01,2021-06-23,0.0898,0.382643,10.4293,116.1391,THG
97,Off,2,2023-08-01,2021-06-23,0.0913,0.393896,10.7497,117.7399,THG
97,Off,3,2023-08-01,2021-06-23,0.0894,0.397575,10.8544,121.4137,THG
97,0m,,2023-08-01,2021-06-23,0.0896,0.20079,5.252,58.6165,THG
97,2m,,2023-08-01,2021-06-23,0.09,0.181492,4.7027,52.2517,THG
97,4m,,2023-08-01,2021-06-23,0.0893,0.184186,4.7793,53.52,THG
109,Off,1,2023-08-03,2021-06-23,0.0529,0.134663,3.3695,63.6947,THG
109,Off,2,2023-08-03,2021-06-23,0.0483,0.11596,2.837,58.7366,THG
109,Off,3,2023-08-03,2021-06-23,0.0527,0.139761,3.5146,66.6904,THG
109,0m,,2023-08-03,2021-06-23,0.05,0.208663,5.4762,109.5236,THG
109,2m,,2023-08-03,2021-06-23,0.0521,0.25149,6.6954,128.5114,THG
109,4m,,2023-08-03,2021-06-23,0.0512,0.193162,5.0349,98.3378,THG
37,Off,,2023-08-03,2021-06-23,0.0494,0.269983,7.2219,146.1929,THG
37,Off,2,2023-08-03,2021-06-23,0.0502,0.287851,7.7306,153.9966,THG
37,Off,3,2023-08-03,2021-06-23,0.0512,0.293353,7.8873,154.048,THG
37,0m,,2023-08-03,2021-06-23,0.0488,0.227189,6.0036,123.0248,THG
37,2m,,2023-08-03,2021-06-23,0.0508,0.271271,7.2586,142.886,THG
37,4m,,2023-08-03,2021-06-23,0.0517,0.202409,5.2981,102.4784,THG
6,Off,,2023-08-03,2021-06-23,0.0518,0.109068,2.6408,50.9804,THG
6,Off,2,2023-08-03,2021-06-23,0.0512,0.107764,2.6037,50.8526,THG
6,Off,3,2023-08-03,2021-06-23,0.0517,0.098168,2.3305,45.0768,THG
6,0m,,2023-08-03,2021-06-23,0.0515,0.090369,2.1084,40.9402,THG
6,2m,,2023-08-03,2021-06-23,0.0514,0.139762,3.5146,68.3778,THG
6,4m,,2023-08-03,2021-06-23,0.0491,0.153592,3.9083,79.5996,THG
35,Off,1,2023-08-04,2021-05-23,0.0507,0.100764,2.4044,47.4237,THG
35,Off,2,2023-08-04,2021-05-23,0.05,0.103668,2.4871,49.741,THG
35,Off,3,2023-08-04,2021-05-23,0.051,0.102563,2.4556,48.1485,THG
35,0m,,2023-08-04,2021-05-23,0.0494,0.1343,3.3591,67.9983,THG
35,2m,,2023-08-04,2021-05-23,0.049,0.093871,2.2081,45.0638,THG
