OID_,ID,POND_NUMBE,X,Y
1,1,2a,425690,5785458
2,2,10a,425162,5785037
3,3,10b,425212,5784974
4,4,13a,425127,5785469
5,5,13b,425116,5785405
6,6,13c,425274,5785429
7,7,14a,425315,5785624
8,8,14b,425272,5785647
9,9,14c,425245,5785639
10,10,16b,425173,5785680
11,11,16c,425038,5785622
12,12,16d,425010,5785600
13,13,17,424998,5785479
14,14,18a,425051,5785178
15,15,18b,425148,5785247
16,16,21,424899,5785024
17,17,22,424886,5785037
18,18,23,424911,5784962
19,19,27a,424713,5785368
20,20,27b,424744,5785384
21,21,29a,424650,5785409
22,22,29b,424600,5785488
23,23,30a,424814,5785583
24,24,33a,424499,5785644
25,25,33b,424370,5785665
26,26,34,424227,5785645
27,27,36a,424222,5785052
28,28,36b,424105,5784987
29,29,38a,424107,5784742
30,30,39a,424224,5784799
31,31,40a,424183,5784677
32,32,40b,424234,5784705
33,33,40c,424279,5784724
34,34,43,424339,5784808
35,35,44,424433,5784798
36,36,45aW,424492,5784889
37,37,45aE,424512,5784905
38,38,46a,424610,5784820
39,39,46b,424729,5784848
40,40,46c,424722,5784897
41,41,46d,424609,5784907
42,42,47,424793,5784850
43,43,48a,424620,5784651
44,44,48b,424567,5784779
45,45,49a,424589,5784468
46,46,51,424601,5784435
47,47,51a,424638,5784451
48,48,52,424538,5784424
49,49,53,424507,5784348
50,50,54,424470,5784336
51,51,55a,424248,5784336
52,52,59,424360,5784222
53,53,60a,424703,5784323
54,54,60b,424758,5784275
55,55,77,425146,5784141
56,56,82,425727,5784329
57,57,83,425763,5784380
58,58,86,425929,5784151
59,59,86a,425982,5784135
60,60,87a,425778,5784125
61,61,91,426474,5784107
62,62,92a,426408,5784509
63,63,92b,426346,5784611
64,64,93,426398,5784651
65,65,93a,426435,5784731
66,66,100a,426229,5784892
67,67,102,426013,5784911
68,68,102a,426041,5784888
69,69,104,425991,5784790
70,70,104a,425946,5784776
71,71,105a,426021,5784577
72,72,107a,425736,5784661
73,73,108,425884,5784756
74,74,108a,425835,5784721
75,75,109a,425872,5784827
76,76,109b,425830,5784886
77,77,110a,425720,5784749
78,78,110b,425717,5784784
79,79,110c,425652,5784764
80,80,112,425687,5784616
81,81,113a,425648,5784826
82,82,113b,425632,5784937
83,83,113c,425648,5784981
84,84,114,425709,5784934
85,85,115,425732,5784956
86,86,116,425769,5785035
87,87,116a,425809,5785079
88,88,117a,425792,5784987
89,89,121,426107,5784943
90,90,123,426181,5784966
91,91,134,426221,5785411
92,92,139a,426129,5785491
93,93,141,425813,5785445
94,94,141a,425847,5785498
95,95,142,425879,5785531
96,96,143,425892,5785552
97,97,144,425906,5785571
98,98,145,425898,5785598
99,99,146,425880,5785615
