OID_,ID,WETLAND_NO,CLASS,POINT_X,POINT_Y
1,1,1,5.000000000000000,425524.311800000024959,5785296.207899999804795
2,2,2,3.000000000000000,425679.260599999979604,5785506.401100000366569
3,3,3,1.000000000000000,425530.068499999993946,5785477.095499999821186
4,4,4,3.000000000000000,425551.381600000022445,5785045.503999999724329
5,5,5,3.000000000000000,425535.396799999987707,5784978.900399999693036
6,6,6,3.000000000000000,425452.808299999975134,5784914.960900000296533
7,7,7,3.000000000000000,425466.129000000015367,5784981.564500000327826
8,8,8,3.000000000000000,425396.861199999984819,5785037.511599999852479
9,9,9,3.000000000000000,425380.876300000003539,5785085.466199999675155
10,10,10,3.000000000000000,425340.914199999999255,5785056.160600000061095
11,11,11,3.000000000000000,425340.914199999999255,5785258.635599999688566
12,12,12,3.000000000000000,425223.691799999971408,5785317.246799999848008
13,13,13,3.000000000000000,425207.706899999990128,5785442.461600000038743
14,14,14,3.000000000000000,425260.989799999981187,5785604.974499999545515
15,15,15,4.000000000000000,425186.163600000028964,5785536.650899999774992
16,16,16,2.000000000000000,425144.260200000018813,5785549.745699999853969
17,17,16A,2.000000000000000,425118.070599999977276,5785672.836799999698997
18,18,18,3.000000000000000,425158.228000000002794,5785191.821000000461936
19,19,19,3.000000000000000,425060.453399999998510,5785089.681499999947846
20,20,20,4.000000000000000,424906.807700000004843,5785175.234199999831617
21,21,24,3.000000000000000,424726.972400000027847,5784951.749499999918044
22,22,24A,3.000000000000000,424703.401699999987613,5785018.969499999657273
23,23,25,4.000000000000000,424630.943800000008196,5785141.187699999660254
24,24,26,4.000000000000000,424761.891899999987800,5785103.649299999698997
25,25,26A,3.000000000000000,424733.083299999998417,5785199.677899999544024
26,26,27,3.000000000000000,424692.925899999972899,5785264.278900000266731
27,27,28,3.000000000000000,424832.603799999982584,5785300.071399999782443
28,28,29,3.000000000000000,424651.895499999984168,5785496.493499999865890
29,29,30,1.000000000000000,424778.478599999973085,5785670.217899999581277
30,30,31,1.000000000000000,424691.179899999988265,5785680.693699999712408
31,31,32,1.000000000000000,424630.943800000008196,5785680.693699999712408
32,32,33,3.000000000000000,424432.775800000003073,5785643.155299999751151
33,33,35,4.000000000000000,424471.187199999985751,5785125.474000000394881
34,34,36,3.000000000000000,424147.309000000008382,5784953.495500000193715
35,35,37,4.000000000000000,424135.087200000009034,5784838.261199999600649
36,36,38,3.000000000000000,424073.105099999986123,5784706.440200000070035
37,37,39,3.000000000000000,424222.385899999993853,5784846.991100000217557
38,38,40,2.000000000000000,424245.956499999971129,5784764.930300000123680
39,39,41,3.000000000000000,424278.256999999983236,5784830.404299999587238
40,40,42,3.000000000000000,424306.192600000009406,5784883.656499999575317
41,41,45,3.000000000000000,424358.571899999980815,5784899.370299999602139
42,42,46,3.000000000000000,424674.593200000002980,5784824.293399999849498
43,43,48,3.000000000000000,424623.959900000016205,5784711.678100000135601
44,44,49,3.000000000000000,424603.881200000003446,5784504.780199999921024
45,45,50,4.000000000000000,424344.604099999996834,5784475.971599999815226
46,46,55,3.000000000000000,424171.752600000007078,5784290.898299999535084
47,47,56,3.000000000000000,424155.165900000021793,5784198.361700000241399
48,48,57,1.000000000000000,424070.486099999980070,5784141.617499999701977
49,49,58,3.000000000000000,424262.543300000019372,5784249.867899999953806
50,50,60,3.000000000000000,424670.228200000012293,5784212.329499999992549
51,51,61,3.000000000000000,424763.637800000025891,5784144.236499999649823
52,52,61A,1.000000000000000,424755.781000000017229,5784109.316999999806285
53,53,62,3.000000000000000,424975.773700000019744,5784116.300900000147521
54,54,63,3.000000000000000,424994.979400000011083,5784170.426099999807775
55,55,64,4.000000000000000,424955.695000000006985,5784213.202499999664724
56,56,65,4.000000000000000,424924.267500000016298,5784455.892900000326335
57,57,66,4.000000000000000,425085.770100000023376,5784514.383000000379980
58,58,67,4.000000000000000,425015.931099999987055,5784874.053700000047684
59,59,68,3.000000000000000,425284.811099999991711,5784730.883799999952316
60,60,69,3.000000000000000,425297.032899999991059,5784796.357800000347197
61,61,70,3.000000000000000,425373.855800000019372,5784790.246899999678135
62,62,71,3.000000000000000,425351.158100000000559,5784687.234500000253320
63,63,72,1.000000000000000,425194.020499999984168,5784702.075199999846518
64,64,73,3.000000000000000,425153.863100000016857,5784658.425900000147521
65,65,74,3.000000000000000,425122.435500000021420,5784620.887400000356138
66,66,75,3.000000000000000,425311.000699999975041,5784413.989500000141561
67,67,76,3.000000000000000,425203.623299999977462,5784301.374200000427663
68,68,78,3.000000000000000,425244.653700000024401,5784151.220399999991059
69,69,79E,4.000000000000000,425394.807499999995343,5784222.805300000123680
70,70,79W,3.000000000000000,425304.889800000004470,5784238.519100000150502
71,71,80,4.000000000000000,425480.360199999995530,5784290.025299999862909
72,72,81,2.000000000000000,425655.830599999986589,5784200.107699999585748
73,73,84,3.000000000000000,425845.268800000019837,5784419.227400000207126
74,74,85,3.000000000000000,425789.397600000025705,5784236.773099999874830
75,75,87,3.000000000000000,425857.490600000019185,5784116.300900000147521
76,76,88,0.000000000000000,425910.742800000007264,5784092.730299999937415
77,77,89,3.000000000000000,426153.433200000028592,5784193.996799999848008
