WETLAND_NO,CLASS,x,y
1,5,-106.090051,52.213064
2,3,-106.087829,52.214974
3,1,-106.090006,52.214691
4,3,-106.089599,52.210814
5,3,-106.089819,52.210213
6,3,-106.091013,52.209627
7,3,-106.090833,52.210228
8,3,-106.091859,52.210721
9,3,-106.092103,52.21115
10,3,-106.092681,52.210881
11,3,-106.092726,52.212702
12,3,-106.094454,52.213213
13,3,-106.094716,52.214336
14,3,-106.093972,52.215804
15,4,-106.095052,52.21518
16,2,-106.095668,52.215292
16A,2,-106.096079,52.216395
18,3,-106.095385,52.212076
19,3,-106.096793,52.211145
20,4,-106.09906,52.211893
24,3,-106.101642,52.209859
24A,3,-106.102002,52.21046
25,4,-106.103089,52.211549
26,4,-106.101165,52.21123
26A,3,-106.101607,52.212089
27,3,-106.102209,52.212664
28,3,-106.100173,52.213005
29,3,-106.102986,52.214857
30,1,-106.100787,52.215885
31,1,-106.102096,52.215925
32,1,-106.102856,52.215922
33,3,-106.10579,52.215885
35,4,-106.105423,52.211386
36,3,-106.110124,52.209796
37,4,-106.110277,52.208758
38,3,-106.111154,52.207565
39,3,-106.109002,52.208849
40,2,-106.108638,52.208114
41,3,-106.10818,52.208707
42,3,-106.107784,52.20919
45,3,-106.107021,52.209338
46,3,-106.10238,52.208707
48,3,-106.103096,52.207687
49,3,-106.103343,52.205825
50,4,-106.10713,52.20553
55,3,-106.109618,52.203843
56,3,-106.10984,52.203009
57,1,-106.111066,52.202487
58,3,-106.10828,52.203487
60,3,-106.102308,52.203205
61,3,-106.100926,52.202606
61A,1,-106.101033,52.202291
62,3,-106.097816,52.202384
63,3,-106.097547,52.202873
64,4,-106.098131,52.203252
65,4,-106.098645,52.205429
66,4,-106.096295,52.205977
67,4,-106.097396,52.2092
68,3,-106.09343,52.20795
69,3,-106.093266,52.20854
70,3,-106.092141,52.208496
71,3,-106.09245,52.207567
72,1,-106.094753,52.207679
73,3,-106.09533,52.207281
74,3,-106.095782,52.206939
75,3,-106.092977,52.205105
76,3,-106.094524,52.204078
78,3,-106.09389,52.202734
79E,4,-106.091709,52.203398
79W,3,-106.093028,52.203527
80,4,-106.090472,52.204014
81,2,-106.087885,52.203229
84,3,-106.085162,52.205224
85,3,-106.085939,52.203577
87,3,-106.084917,52.202503
86 / 88,0,-106.084132,52.202298
89,3,-106.080604,52.203241
90,4,-106.080283,52.204774
92,2,-106.076985,52.206798
94,3,-106.07564,52.209291
95,3,-106.076498,52.209377
96,3,-106.076424,52.210006
97,3,-106.077885,52.209647
98,3,-106.078522,52.208527
99,3,-106.081354,52.208336
100,3,-106.080609,52.20923
101,3,-106.081199,52.20935
103,3,-106.083807,52.209389
105,3,-106.083172,52.20744
106,3,-106.085601,52.20701
107,3,-106.086138,52.207554
109,3,-106.085747,52.208774
110,3,-106.087631,52.208004
111,3,-106.088325,52.207636
113,3,-106.087947,52.209421
112 / 117,3,-106.085459,52.21059
118,3,-106.084401,52.209666
119,3,-106.083412,52.209981
120,3,-106.082514,52.210884
122,3,-106.080727,52.209888
124,3,-106.080447,52.211539
125S,3,-106.081228,52.212097
125N,3,-106.081397,52.213288
126,3,-106.079863,52.212211
127,3,-106.078964,52.212541
128,3,-106.078529,52.21147
129,3,-106.076323,52.212157
130,2,-106.077636,52.212028
131,3,-106.077852,52.213046
132,3,-106.077575,52.214265
133,3,-106.077129,52.215407
135,3,-106.079201,52.214925
136,3,-106.079263,52.215372
137,3,-106.082875,52.216273
139,3,-106.08333,52.214479
140,3,-106.085122,52.213034
147,3,-106.086612,52.21621
