sample_id,matrix_type,parameter_type,pond_id,comment,note,sample_date,pond_alias,Data Source
201107068,Sediment ,LOI,100,04-Feb,,06-Jul-11,Pond 100,U of R
201107071,Sediment ,Particle Size ,100,04-Feb,,06-Jul-11,Pond 100,U of R
201107204,Sediment ,Kmeth,100,04-Feb,,06-Jul-11,Pond 100,U of R
201107207,Sediment ,Kmeth,100,04-Feb,,06-Jul-11,Pond 100,U of R
201107210,Sediment ,Kmeth,100,04-Feb,,06-Jul-11,Pond 100,U of R
201107074,Sediment ,LOI,104,04-Feb,,06-Jul-11,Pond 104,U of R
201107077,Sediment ,Particle Size ,104,04-Feb,,06-Jul-11,Pond 104,U of R
201107213,Sediment ,Kmeth,104,04-Feb,,06-Jul-11,Pond 104,U of R
201107216,Sediment ,Kmeth,104,04-Feb,,06-Jul-11,Pond 104,U of R
201107219,Sediment ,Kmeth,104,04-Feb,,06-Jul-11,Pond 104,U of R
201107080,Sediment ,LOI,110,04-Feb,,06-Jul-11,Pond 110,U of R
201107083,Sediment ,Particle Size ,110,04-Feb,,06-Jul-11,Pond 110,U of R
201107222,Sediment ,Kmeth,110,04-Feb,,06-Jul-11,Pond 110,U of R
201107225,Sediment ,Kmeth,110,04-Feb,,06-Jul-11,Pond 110,U of R
201107228,Sediment ,Kmeth,110,04-Feb,,06-Jul-11,Pond 110,U of R
201107086,Sediment ,LOI,113,04-Feb,,06-Jul-11,Pond 113,U of R
201107089,Sediment ,Particle Size ,113,04-Feb,,06-Jul-11,Pond 113,U of R
201107231,Sediment ,Kmeth,113,04-Feb,,06-Jul-11,Pond 113,U of R
201107234,Sediment ,Kmeth,113,04-Feb,,06-Jul-11,Pond 113,U of R
201107237,Sediment ,Kmeth,113,04-Feb,,06-Jul-11,Pond 113,U of R
201107092,Sediment ,LOI,118,04-Feb,,06-Jul-11,Pond 118,U of R
201107095,Sediment ,Particle Size ,118,04-Feb,,06-Jul-11,Pond 118,U of R
201107240,Sediment ,Kmeth,118,04-Feb,,06-Jul-11,Pond 118,U of R
201107243,Sediment ,Kmeth,118,04-Feb,,06-Jul-11,Pond 118,U of R
201107246,Sediment ,Kmeth,118,04-Feb,,06-Jul-11,Pond 118,U of R
201107098,Sediment ,LOI,130,04-Feb,,07-Jul-11,Pond 130,U of R
201107101,Sediment ,Particle Size ,130,04-Feb,,07-Jul-11,Pond 130,U of R
201107267,Sediment ,Kmeth,130,04-Feb,,07-Jul-11,Pond 130,U of R
201107270,Sediment ,Kmeth,130,04-Feb,,07-Jul-11,Pond 130,U of R
201107273,Sediment ,Kmeth,130,04-Feb,,07-Jul-11,Pond 130,U of R
201107276,Sediment ,Kmeth,139,04-Feb,,07-Jul-11,Pond 139 ,U of R
201107279,Sediment ,Kmeth,139,04-Feb,,07-Jul-11,Pond 139 ,U of R
201107282,Sediment ,Kmeth,139,04-Feb,,07-Jul-11,Pond 139 ,U of R
201107062,Sediment ,Particle Size ,2,04-Feb,,07-Jul-11,Pond 2,U of R
201107249,Sediment ,Kmeth,2,04-Feb,,07-Jul-11,Pond 2,U of R
201107252,Sediment ,Kmeth,2,04-Feb,,07-Jul-11,Pond 2,U of R
201107255,Sediment ,Kmeth,2,04-Feb,,07-Jul-11,Pond 2,U of R
201107065,Sediment ,Particle Size ,3,04-Feb,,07-Jul-11,Pond 3,U of R
201107258,Sediment ,Kmeth,3,04-Feb,,07-Jul-11,Pond 3,U of R
201107261,Sediment ,Kmeth,3,04-Feb,,07-Jul-11,Pond 3,U of R
201107264,Sediment ,Kmeth,3,04-Feb,,07-Jul-11,Pond 3,U of R
201108171,Sediment ,KMeth,100,04-Feb,,24-Aug-11,SD100,U of R
201108174,Sediment ,KMeth,100,04-Feb,,24-Aug-11,SD100,U of R
201108177,Sediment ,KMeth,100,04-Feb,,24-Aug-11,SD100,U of R
201108252,Sediment ,LOI,100,04-Feb,,24-Aug-11,SD100,U of R
201108255,Sediment ,Particle Size ,100,04-Feb,,24-Aug-11,SD100,U of R
201108153,Sediment ,KMeth,104,04-Feb,,24-Aug-11,SD104,U of R
201108156,Sediment ,KMeth,104,04-Feb,,24-Aug-11,SD104,U of R
201108159,Sediment ,KMeth,104,04-Feb,,24-Aug-11,SD104,U of R
201108240,Sediment ,LOI,104,04-Feb,,24-Aug-11,SD104,U of R
201108243,Sediment ,Particle Size ,104,04-Feb,,24-Aug-11,SD104,U of R
201108135,Sediment ,KMeth,110,04-Feb,,24-Aug-11,SD110,U of R
201108138,Sediment ,KMeth,110,04-Feb,,24-Aug-11,SD110,U of R
201108141,Sediment ,KMeth,110,04-Feb,,24-Aug-11,SD110,U of R
201108228,Sediment ,LOI,110,04-Feb,,24-Aug-11,SD110,U of R
201108231,Sediment ,Particle Size ,110,04-Feb,,24-Aug-11,SD110,U of R
201108144,Sediment ,KMeth,113,04-Feb,,24-Aug-11,SD113,U of R
201108147,Sediment ,KMeth,113,04-Feb,,24-Aug-11,SD113,U of R
201108150,Sediment ,KMeth,113,04-Feb,,24-Aug-11,SD113,U of R
201108234,Sediment ,LOI,113,04-Feb,,24-Aug-11,SD113,U of R
201108237,Sediment ,Particle Size ,113,04-Feb,,24-Aug-11,SD113,U of R
201108162,Sediment ,KMeth,118,04-Feb,,24-Aug-11,SD118,U of R
201108165,Sediment ,KMeth,118,04-Feb,,24-Aug-11,SD118,U of R
201108168,Sediment ,KMeth,118,04-Feb,,24-Aug-11,SD118,U of R
201108246,Sediment ,LOI,118,04-Feb,,24-Aug-11,SD118,U of R
201108249,Sediment ,Particle Size ,118,04-Feb,,24-Aug-11,SD118,U of R
201108207,Sediment ,KMeth,130,04-Feb,,25-Aug-11,SD130,U of R
201108210,Sediment ,KMeth,130,04-Feb,,25-Aug-11,SD130,U of R
201108213,Sediment ,KMeth,130,04-Feb,,25-Aug-11,SD130,U of R
201108276,Sediment ,LOI,130,04-Feb,,25-Aug-11,SD130,U of R
201108279,Sediment ,Particle Size ,130,04-Feb,,25-Aug-11,SD130,U of R
201108198,Sediment ,KMeth,139,04-Feb,,25-Aug-11,SD139,U of R
201108201,Sediment ,KMeth,139,04-Feb,,25-Aug-11,SD139,U of R
201108204,Sediment ,KMeth,139,04-Feb,,25-Aug-11,SD139,U of R
201108270,Sediment ,LOI,139,04-Feb,,25-Aug-11,SD139,U of R
201108273,Sediment ,Particle Size ,139,04-Feb,,25-Aug-11,SD139,U of R
201108189,Sediment ,KMeth,2,04-Feb,,25-Aug-11,SD2,U of R
201108192,Sediment ,KMeth,2,04-Feb,,25-Aug-11,SD2,U of R
201108195,Sediment ,KMeth,2,04-Feb,,25-Aug-11,SD2,U of R
201108264,Sediment ,LOI,2,04-Feb,,25-Aug-11,SD2,U of R
201108267,Sediment ,Particle Size ,2,04-Feb,,25-Aug-11,SD2,U of R
201108180,Sediment ,KMeth,3,04-Feb,,25-Aug-11,SD3,U of R
201108183,Sediment ,KMeth,3,04-Feb,,25-Aug-11,SD3,U of R
201108186,Sediment ,KMeth,3,04-Feb,,25-Aug-11,SD3,U of R
201108258,Sediment ,LOI,3,04-Feb,,25-Aug-11,SD3,U of R
201108261,Sediment ,Particle Size ,3,04-Feb,,25-Aug-11,SD3,U of R
201107069,Sediment ,LOI,100,08-Apr,,06-Jul-11,Pond 100,U of R
201107072,Sediment ,Particle Size ,100,08-Apr,,06-Jul-11,Pond 100,U of R
201107205,Sediment ,Kmeth,100,08-Apr,,06-Jul-11,Pond 100,U of R
201107208,Sediment ,Kmeth,100,08-Apr,,06-Jul-11,Pond 100,U of R
201107211,Sediment ,Kmeth,100,08-Apr,,06-Jul-11,Pond 100,U of R
201107075,Sediment ,LOI,104,08-Apr,,06-Jul-11,Pond 104,U of R
201107078,Sediment ,Particle Size ,104,08-Apr,,06-Jul-11,Pond 104,U of R
201107214,Sediment ,Kmeth,104,08-Apr,,06-Jul-11,Pond 104,U of R
201107217,Sediment ,Kmeth,104,08-Apr,,06-Jul-11,Pond 104,U of R
201107220,Sediment ,Kmeth,104,08-Apr,,06-Jul-11,Pond 104,U of R
201107081,Sediment ,LOI,110,08-Apr,,06-Jul-11,Pond 110,U of R
201107084,Sediment ,Particle Size ,110,08-Apr,,06-Jul-11,Pond 110,U of R
201107223,Sediment ,Kmeth,110,08-Apr,,06-Jul-11,Pond 110,U of R
201107226,Sediment ,Kmeth,110,08-Apr,,06-Jul-11,Pond 110,U of R
201107229,Sediment ,Kmeth,110,08-Apr,,06-Jul-11,Pond 110,U of R
201107087,Sediment ,LOI,113,08-Apr,,06-Jul-11,Pond 113,U of R
201107090,Sediment ,Particle Size ,113,08-Apr,,06-Jul-11,Pond 113,U of R
201107232,Sediment ,Kmeth,113,08-Apr,,06-Jul-11,Pond 113,U of R
201107235,Sediment ,Kmeth,113,08-Apr,,06-Jul-11,Pond 113,U of R
201107238,Sediment ,Kmeth,113,08-Apr,,06-Jul-11,Pond 113,U of R
201107093,Sediment ,LOI,118,08-Apr,,06-Jul-11,Pond 118,U of R
201107096,Sediment ,Particle Size ,118,08-Apr,,06-Jul-11,Pond 118,U of R
201107241,Sediment ,Kmeth,118,08-Apr,,06-Jul-11,Pond 118,U of R
201107244,Sediment ,Kmeth,118,08-Apr,,06-Jul-11,Pond 118,U of R
201107247,Sediment ,Kmeth,118,08-Apr,,06-Jul-11,Pond 118,U of R
201107099,Sediment ,LOI,130,08-Apr,,07-Jul-11,Pond 130,U of R
201107102,Sediment ,Particle Size ,130,08-Apr,,07-Jul-11,Pond 130,U of R
201107268,Sediment ,Kmeth,130,08-Apr,,07-Jul-11,Pond 130,U of R
201107271,Sediment ,Kmeth,130,08-Apr,,07-Jul-11,Pond 130,U of R
201107274,Sediment ,Kmeth,130,08-Apr,,07-Jul-11,Pond 130,U of R
201107277,Sediment ,Kmeth,139,08-Apr,,07-Jul-11,Pond 139 ,U of R
201107280,Sediment ,Kmeth,139,08-Apr,,07-Jul-11,Pond 139 ,U of R
201107283,Sediment ,Kmeth,139,08-Apr,,07-Jul-11,Pond 139 ,U of R
201107063,Sediment ,Particle Size ,2,08-Apr,,07-Jul-11,Pond 2,U of R
201107250,Sediment ,Kmeth,2,08-Apr,,07-Jul-11,Pond 2,U of R
201107253,Sediment ,Kmeth,2,08-Apr,,07-Jul-11,Pond 2,U of R
201107256,Sediment ,Kmeth,2,08-Apr,,07-Jul-11,Pond 2,U of R
201107066,Sediment ,Particle Size ,3,08-Apr,,07-Jul-11,Pond 3,U of R
201107259,Sediment ,Kmeth,3,08-Apr,,07-Jul-11,Pond 3,U of R
201107262,Sediment ,Kmeth,3,08-Apr,,07-Jul-11,Pond 3,U of R
201107265,Sediment ,Kmeth,3,08-Apr,,07-Jul-11,Pond 3,U of R
201108172,Sediment ,KMeth,100,08-Apr,,24-Aug-11,SD100,U of R
201108175,Sediment ,KMeth,100,08-Apr,,24-Aug-11,SD100,U of R
201108178,Sediment ,KMeth,100,08-Apr,,24-Aug-11,SD100,U of R
201108253,Sediment ,LOI,100,08-Apr,,24-Aug-11,SD100,U of R
201108256,Sediment ,Particle Size ,100,08-Apr,,24-Aug-11,SD100,U of R
201108154,Sediment ,KMeth,104,08-Apr,,24-Aug-11,SD104,U of R
