Pond,Date,Time,Temp_degC,DO_mg.L,Depth_m,SPC_uS.cm,pH,Redox_mV,DO_perc,Sal_ppt,,
1,1993-05-20,12:58:00,14.69,11.25,0,2.03,8.05,446,117.8,1.1,,
1,1993-05-20,,14.64,11.2,-0.5,2.02,8.06,445,117.3,1.1,,
1,1993-05-20,,14.54,11.4,-1,2.02,8.07,445,119.4,1.1,,
1,1993-05-20,13:01:00,13.5,9.45,-1.6,2.1,7.75,450,98.5,1.1,,
25,1993-05-20,13:58:00,17.15,7.17,0,1.23,7.57,402,78.9,0.6,,
25,1993-05-20,,17.22,7.03,-0.1,1.22,7.57,401,77.5,0.6,,
25,1993-05-20,14:04:00,16.34,6.91,-0.4,1.49,7.55,401,74.8,0.8,, 
50,1993-05-20,14:18:00,19.07,3.42,-0.1,3.22,7.38,385,39.5,1.7,,
65,1993-05-20,13:22:00,15.66,7.04,0,3.35,7.76,423,75.6,1.8,,
65,1993-05-20,,15.66,7.19,-0.2,3.35,7.8,419,77.3,1.8,,
65,1993-05-20,13:27:00,15.62,7.23,-0.5,3.35,7.8,419,77.7,1.8,,
66,1993-05-20,13:35:00,23.66,9.44,0,43,8.16,399,139.3,27.7,,
4857,1993-05-20,12:32:00,14.67,8.5,0,0.19,7.61,462,90,0.1,,
4857,1993-05-20,,14.77,8.58,-0.2,0.59,7.66,463,89.5,0.3,,
4857,1993-05-20,12:40:00,14.74,8.53,-0.7,0.59,7.66,464,88.9,0.3,,
Gursky,1993-05-20,11:58:00,14.3,8.2,0,0.79,8.07,479,84.6,0.4,,
Gursky,1993-05-20,,14.06,8.1,-1,0.79,8.09,478,83.3,0.4,,
Gursky,1993-05-20,,13.98,8.01,-2,0.79,8.1,478,82.2,0.4,,
Gursky,1993-05-20,12:01:00,13.4,4.5,-2.7,0.8,8,481,46.5,0.4,,
1,1993-05-27,15:55:00,13.02,10.43,0,2.08,8.19,532,105.4,1.1,,
1,1993-05-27,,13.31,10.58,0.5,2.1,8.22,527,107.5,1.1,,
1,1993-05-27,,12.67,10.38,1,2.09,8.21,517,104,1.1,,
1,1993-05-27,,12.39,12.42,1.5,2.07,8.28,513,123.7,1.1,,
25,1993-05-27,12:00:00,10.73,8,0,1.54,7.75,293,76.6,0.8,,
25,1993-05-27,,10.75,7.99,0.1,1.56,7.75,245,76.5,0.8,,
25,1993-05-27,,10.76,8.02,0.2,1.56,7.76,296,76.8,0.8,,
25,1993-05-27,,10.74,8.02,0.3,1.56,7.76,297,76.7,0.8,,
25,1993-05-27,,10.75,8.01,0.4,1.56,7.76,299,76.7,0.8,,
37,1993-05-27,12:45:00,15.36,4.76,0,0.83,7.12,259,50.4,0.4,,
50,1993-05-27,13:15:00,13.47,4.08,0.1,3.65,7.42,346,41.8,2,,
60,1993-05-27,16:56:00,22.34,8.72,0,0.43,7.04,461,106.1,0.2,,
65,1993-05-27,16:35:00,12.53,8.41,0,3.5,7.94,548,84.5,1.9,,
65,1993-05-27,,12.56,8.34,0.3,3.51,7.93,548,83.8,1.9,,
65,1993-05-27,,12.56,8.28,0.6,3.51,7.94,547,83.2,1.9,,
66,1993-05-27,17:16:00,21.49,13.41,0,46.5,8.58,426,192.8,30.3,,
67,1993-05-27,17:38:00,17.25,9.15,0,6.01,8.11,286,102.8,3.3,,
67,1993-05-27,,16.4,8.13,0.2,6.07,8,285,89.7,3.4,,
86,1993-05-27,11:38:00,11.94,4.8,0,0.33,7.05,294,47,0.2,,
86,1993-05-27,,9.96,4.34,0.1,0.34,6.96,288,40.6,0.2,,
86,1993-05-27,,9.43,3.87,0.3,0.34,6.91,275,35.7,0.2,,
87,1993-05-27,11:25:00,11.61,7.12,0.1,0.4,6.93,279,69.3,0.2,,
90,1993-05-27,11:13:00,15.26,9.9,0.1,17.1,7.7,248,111.2,10,,
4857,1993-05-27,15:20:00,11.92,8.8,0,0.6,7.81,519,86.3,0.3,,
4857,1993-05-27,,11.89,8.76,0.3,0.62,7.82,522,85.8,0.3,,
4857,1993-05-27,,11.83,8.8,0.6,0.62,7.83,525,86.1,0.3,,
4857,1993-05-27,,11.88,8.63,0.9,0.62,7.85,470,84.5,0.3,,
Gursky,1993-05-27,14:00:00,12.55,7.54,0,0.81,8.01,520,75,0.4,,
Gursky,1993-05-27,,12.46,7.47,0.5,0.81,8.02,519,74.2,0.4,,
Gursky,1993-05-27,,12.45,7.44,1,0.81,8.03,519,73.9,0.4,,
Gursky,1993-05-27,,12.43,7.42,1.5,0.81,8.03,518,73.6,0.4,,
Gursky,1993-05-27,,12.42,7.39,2,0.81,8.03,518,73.3,0.4,,
Gursky,1993-05-27,,12.45,7.41,2.2,0.81,8.04,517,73.5,0.4,,
1,1993-06-09,12:38:00,19.87,12.31,0,2.12,8.81,393,145.3,1.1,,
1,1993-06-09,,19.89,12.2,0.3,2.13,8.82,392,144,1.1,,
1,1993-06-09,,19.91,12.13,0.6,2.14,8.82,392,143.3,1.1,,
1,1993-06-09,,19.93,12.35,0.9,2.13,8.83,392,146,1.1,,
1,1993-06-09,,19.92,12.55,1.3,2.13,8.85,392,148.4,1.1,,
65,1993-06-09,13:57:00,20,6.75,0,3.71,7.93,357,80.4,2,,
65,1993-06-09,,20.01,6.7,0.3,3.71,7.94,358,79.8,2,,
65,1993-06-09,,20.02,6.68,0.5,3.72,7.94,360,79.5,2,,
67,1993-06-09,13:33:00,21.71,5.46,0.1,7.18,8.04,359,68,4,,
67,1993-06-09,,21.11,3.65,0.2,7.22,7.99,235,45,4,,
86,1993-06-09,14:37:00,20.29,3.91,0,0.35,6.89,317,46.2,0.2,,
86,1993-06-09,,18.64,2.66,0.1,0.36,6.83,320,30.5,0.2,,
86,1993-06-09,,17.82,1.9,0.2,0.36,6.71,319,21.4,0.2,,
4857,1993-06-09,11:52:00,19.26,7.42,0,0.66,7.77,439,86.1,0.3,,
4857,1993-06-09,,19.25,7.39,0.2,0.66,7.77,43.9,85.7,0.3,,
4857,1993-06-09,,19.24,7.38,0.4,0.66,7.77,438,85.6,0.3,,
4857,1993-06-09,,19.23,7.32,0.7,0.64,7.77,436,84.8,0.3,,
4857,1993-06-09,,19.22,7.23,0.8,0.66,7.77,370,83.8,0.3,,
Gursky,1993-06-09,10:42:00,17.68,8.69,0,0.81,8.11,402,97.7,0.4,,
Gursky,1993-06-09,,17.66,8.63,0.5,0.83,8.12,404,97,0.4,,
Gursky,1993-06-09,,17.63,8.59,1,0.83,8.13,407,96.5,0.4,,
Gursky,1993-06-09,,17.53,8.62,1.5,0.83,8.13,409,96.6,0.4,,
Gursky,1993-06-09,,17.34,7.33,2,0.83,8.14,412,81.8,0.4,,
Gursky,1993-06-09,,15.85,3.46,2.5,0.84,7.94,422,37.4,0.4,,
25,1993-06-10,16:19:00,21.03,8.62,0,1.75,7.5,338,104.2,0.9,,
25,1993-06-10,,21.03,8.21,0.1,1.71,7.51,346,99.2,0.9,,
25,1993-06-10,,20.96,7.9,0.2,1.79,7.49,344,95.4,1,,
50,1993-06-10,17:54:00,25.5,6.57,0.1,2.1,7.72,380,86.6,1.1,,
90,1993-06-10,15:16:00,27.04,14.15,0,7.22,8.31,253,196.9,4,,
1,1993-06-23,12:28:00,17.5,12.33,0,2.26,10.95,178,139.1,1.2,,
1,1993-06-23,,17.52,12.33,0.1,2.27,9.84,236,139.1,1.2,,
1,1993-06-23,,17.54,12.32,0.2,2.27,11.39,152,139.1,1.2,,
1,1993-06-23,,17.55,12.35,0.3,2.27,10.23,243,139.4,1.2,,
1,1993-06-23,,17.55,12.35,0.4,2.27,9.6,244,139.4,1.2,,
25,1993-06-23,14:29:00,17.5,12.08,0,1.84,7.61,353,136,1,,
25,1993-06-23,,17.54,12.19,0.2,1.84,10.44,207,137.4,1,,
50,1993-06-23,14:53:00,21.2,12.74,0,5.84,13.46,33,156.9,3.2,,
65,1993-06-23,14:01:00,17.06,10.22,0.1,4,7.62,300,115,2.2,,
65,1993-06-23,,17.06,10.17,0.2,4,7.66,307,114.4,2.2,,
65,1993-06-23,,17.06,10.15,0.2,4.01,8.41,217,114.2,2.2,,
65,1993-06-23,,17.06,10.14,0.3,4.01,7.22,335,114.1,2.2,,
65,1993-06-23,,17.06,10.07,0.4,4.02,7.5,278,113.4,2.2,,
67,1993-06-23,13:11:00,17.98,9.81,0.2,8.25,9.84,263,114.2,4.6,,
86,1993-06-23,15:12:00,17.39,4.57,0,0.38,7.32,275,51,0.2,,
86,1993-06-23,,17.37,4.4,0.1,0.38,7.27,290,49.1,0.2,,
90,1993-06-23,15:38:00,21.55,12.16,0.1,18.9,8.95,59,158.4,11.2,,
4857,1993-06-23,11:50:00,15.84,8.83,0,0.68,8.82,273,95.6,0.3,,
4857,1993-06-23,,15.86,8.75,0.1,0.73,9.93,203,94.8,0.4,,
