"Hydrolab Data for 1995 Used for Plotting Temperature, Dissolved Oxygen, and Specific",,,,,,
Conductivity (these values are averages through the water column and are calculated,,,,,,
from the Whole Year worksheet).,,,,,,
,,,,,,
Pond,Date,Days (Julian),Temperature,Dissolved,Specific,pH
number, sampled,,(°C), Oxygen, Conductivity,(pH Units)
,,, ,(mg/L),(mS/cm), 
,,,,,,
1A,1995-06-20,150,21.46,5.39,2.02,7.73
1A,1995-07-12,171,23.785,8.015,2.045,8.39
1A,1995-07-25,193,19.35,9.135,2.155,8.48
1A,1995-08-14,206,16.815,10.41,2.29,8.57
1A,1995-08-28,226,18.39,12.245,2.355,9.11
1A,1995-09-12,240,17.97,11.185,2.155,8.97
1A,1995-10-17,255,6.975,10.47,2.3,8.53
,,,,,,
1B,1995-05-30,150,19.7,7.59,1.96,7.92
1B,1995-06-20,171,21.2,5.54,2.06,7.76
1B,1995-07-12,193,23.5,8.18,2.10,8.38
1B,1995-07-25,206,19.8,8.73,2.15,8.46
1B,1995-08-14,226,16.1,9.08,2.38,8.58
1B,1995-08-28,240,17.8,11.15,2.31,9.01
1B,1995-09-12,255,17.4,9.69,2.20,8.75
1B,1995-10-17,290,6.7,10.48,2.28,8.02
,,,,,,
25,1995-05-30,150,21.0,6.92,1.72,7.95
25,1995-06-20,171,20.9,3.90,1.84,7.89
25,1995-07-12,193,25.4,12.38,1.83,8.81
25,1995-07-25,206,23.8,15.61,1.97,9.05
25,1995-08-14,226,21.0,NA,2.00,9.10
25,1995-08-28,240,16.8,8.46,2.12,9.02
25,1995-09-12,255,17.9,10.88,2.13,8.86
25,1995-10-17,290,5.9,11.13,2.40,8.55
,,,,,,
37,1995-05-31,151,17.1,4.47,0.22,7.69
,,,,,,
50,1995-05-30,150,25.2,8.94,5.37,8.26
50,1995-06-20,171,24.3,11.13,6.17,7.94
50,1995-07-12,193,26.5,8.55,7.20,8.01
50,1995-07-25,206,21.6,9.22,7.89,7.99
50,1995-08-14,226,20.2,7.46,7.14,8.04
50,1995-08-28,240,NA,NA,NA,NA
50,1995-09-12,255,NA,NA,NA,NA
50,1995-10-17,290,NA,NA,NA,NA
,,,,,,
65,1995-05-30,150,21.6,8.92,3.04,8.11
65,1995-06-20,171,20.8,8.15,3.16,8.39
65,1995-07-12,193,22.1,7.72,2.75,8.80
65,1995-07-25,206,22.1,12.05,3.42,9.31
65,1995-08-14,226,15.2,8.59,3.51,9.15
65,1995-08-28,240,17.2,9.40,3.77,9.35
65,1995-09-12,255,17.1,8.96,3.72,8.98
65,1995-10-17,290,5.9,11.39,4.22,8.95
,,,,,, 
66,1995-05-30,150,24.7,10.25,26.20,8.56
66,1995-06-20,171,19.6,9.54,31.50,8.76
66,1995-07-12,193,21.4,6.76,17.83,9.78
66,1995-07-25,206,25.2,11.46,20.39,9.71
66,1995-08-14,226,15.4,9.81,32.80,9.62
66,1995-08-28,240,17.6,12.15,37.80,9.52
66,1995-09-12,255,16.2,8.60,41.00,9.10
66,1995-10-17,290,6.0,10.05,43.20,8.81
,,,,,,
67,1995-05-30,150,21.3,5.63,4.91,8.01
67,1995-06-20,171,20.4,7.07,5.36,8.14
67,1995-07-12,193,22.0,3.67,5.44,8.44
67,1995-07-25,206,20.6,7.63,6.15,8.66
67,1995-08-14,226,14.6,8.40,6.19,8.67
67,1995-08-28,240,17.3,9.41,6.51,8.91
67,1995-09-12,255,17.1,6.67,6.40,8.53
67,1995-10-17,290,6.1,11.26,7.07,8.55
,,,,,,
86,1995-05-31,151,17.0,5.41,0.62,8.36
,,,,,,
90,1995-05-31,151,17.5,5.98,10.39,8.20
90,1995-06-20,171,24.3,9.29,11.33,8.21
90,1995-07-12,193,24.1,7.24,5.14,9.24
90,1995-07-25,206,NA,NA,NA,NA
90,1995-08-14,226,21.7,8.65,9.96,8.47
90,1995-08-28,240,NA,NA,NA,NA
90,1995-09-12,255,NA,NA,NA,NA
90,1995-10-17,290,NA,NA,NA,NA
,,,,,,
109,1995-05-31,151,19.91,4.77,0.399,7.45
109,1995-06-20,171,24.35,12.46,0.374,8.15
,,,,,,
4857,1995-05-30,150,20.7,8.11,0.95,8.19
4857,1995-06-20,171,20.6,4.67,0.98,7.70
4857,1995-07-12,193,21.0,5.78,0.92,8.47
4857,1995-07-25,206,23.0,13.91,0.93,9.38
4857,1995-08-14,226,14.0,7.00,1.07,8.20
4857,1995-08-28,240,16.5,8.80,1.13,8.52
4857,1995-09-12,255,18.1,13.08,1.05,Probe Broken
4857,1995-10-17,290,5.3,11.43,1.15,8.18
,,,,,,
6642,1995-05-31,151,17.9,4.25,1.24,8.01
6642,1995-06-20,171,20.4,6.59,1.30,8.01
6642,1995-07-12,193,22.5,6.12,1.06,8.16
6642,1995-07-25,206,19.4,6.50,1.46,8.21
6642,1995-08-14,226,20.0,8.74,1.42,8.31
6642,1995-08-28,240,18.9,9.32,1.53,8.36
6642,1995-09-12,255,15.6,4.94,1.52,7.93
6642,1995-10-17,290,6.4,12.18,1.79,8.05
,,,,,,
Gursky's,1995-05-31,151,17.2,6.02,0.87,8.75
Gursky's,1995-06-20,171,21.8,5.87,0.90,8.22
Gursky's,1995-07-12,193,24.3,10.81,0.87,8.87
Gursky's,1995-07-25,206,20.6,10.56,0.91,8.92
Gursky's,1995-08-14,226,17.2,9.06,0.94,9.16
Gursky's,1995-08-28,240,18.5,10.64,0.94,9.26
Gursky's,1995-09-12,255,17.8,8.65,0.89,Probe Broken
Gursky's,1995-10-17,290,7.4,11.25,0.94,8.81
