1997 Hydrolab Data from St.Denis NWA ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Deg. C,,mS/cm,ppt,,mg/l,mV,m,HHMM,,
ID,Month,Temperature,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
Gursky,April,3.5,8.66,0.494,0.2,121.6,15.26,336,0,1053,,
Gursky,May,11.22,8.66,0.279,0.1,112.5,11.75,308,0,1441,,
Gursky,June,20.56,8.56,0.799,0.4,113.3,9.64,317,0,1330,,
Gursky,July,23.96,8.37,0.837,0.4,94,7.45,224,0,1232,,
Gursky,August,20.16,8.9,0.8,0.4,137.3,11.77,324,0,1450,,
Gursky,September,12.68,8.84,0.847,0.4,113.2,11.26,333,0,1616,,
Gursky,October,5.27,8.84,0.874,0.5,121.1,14.39,330,0,1555,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
Gursky,April,3.53,8.63,0.525,0.3,117.1,14.68,337,0.4,1054,,
Gursky,May,11.14,8.69,0.819,0.4,111.8,11.69,307,0.8,1442,,
Gursky,June,20.48,8.58,0.802,0.4,112.7,9.6,314,0.6,1330,,
Gursky,July,23.14,8.36,0.838,0.4,87.1,7,223,0.8,1233,,
Gursky,August,19.95,8.91,0.801,0.4,126.4,10.88,323,0.6,1451,,
Gursky,September,12.57,8.82,0.856,0.4,109.2,10.89,334,0.8,1617,,
Gursky,October,5.21,8.9,0.873,0.5,115.4,13.73,328,0.8,1556,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
1,April,3.14,7.76,1.432,0.8,50.6,6.38,320,0,1253,,
1,May,8.29,8.58,0.673,0.3,91.6,10.24,334,0,1131,,
1,June,19.9,8.29,1.86,1,99,8.5,331,0,1022,,
1,July,24.53,8.53,1.11,0.6,89.6,7.04,156,0,1206,,
1,August,19.33,8.67,1.74,0.9,74.3,6.45,370,0,1135,,
1,September,11.8,8.42,1.83,1.0,106.2,10.74,355,0,1333,,
1,October,3.28,8.12,1.8,1,110.5,13.77,372,0,1337,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
1,April,3.21,7.64,1.461,0.8,46.7,5.88,321,0.5,1254,,
1,May,8.39,8.58,1.8,1,89.6,9.96,331,1,1132,,
1,June,19.92,8.32,1.71,0.9,96.1,8.25,316,0.7,1022,,
1,July,24.54,8.51,1.73,0.9,76.6,6,118,0.4,1207,,
1,August,19.28,8.66,1.75,0.9,71.6,6.22,360,0.6,1136,,
1,September,11.77,8.38,1.88,1.0,98.9,10.01,351,0.7,1334,,
1,October,3.48,8.07,1.8,1,105.6,13.1,371,0.8,1339,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
25,April,5.27,7.87,1.06,0.6,86.5,10.33,322,0,1334,,
25,May,9.05,8.21,1.374,0.7,95.6,10.47,328,0,1312,,
25,June,19.77,7.85,1.499,0.8,57,4.92,334,0,1041,,
25,July,23.22,7.97,1.63,0.9,77.6,6.22,330,0,942,,
25,August,21.33,8.38,1.74,0.9,102.9,8.59,319,0,1306,,
25,September,12.08,8.57,1.79,1.0,106.8,10.73,328,0,1533,,
25,October,3.7,8.83,1.84,1,114.6,14.13,322,0,1510,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
25,April,4.14,7.8,1.11,0.6,81.1,9.98,324,0.5,1334,,
25,May,7.4,8.21,1.398,0.7,90.6,10.32,330,0.7,1313,,
25,June,19.78,7.82,1.5,0.8,55.6,4.79,332,0.7,1041,,
25,July,23.23,7.98,1.63,0.9,76.8,6.15,322,0.7,944,,
25,August,20.17,8.36,1.7,0.9,100.8,8.61,248,0.6,1307,,
25,September,12.08,8.63,1.81,1.0,111.9,11.24,312,0.6,1534,,
25,October,3.63,8.83,1.85,1,112.3,13.87,319,0.6,1511,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
37,April,10.66,8.05,0.143,0.1,85.7,9.01,311,0,1357,,
37,May,9.7,8.17,0.112,0,76.6,8.3,329,0,1330,,
37,June,19.47,7.7,0.332,0.2,20.1,1.75,330,0,1054,,
37,July,23.16,7.29,0.409,0.2,24.2,1.95,316,0,1002,,
37,August,21.27,7.48,0.447,0.2,55.9,4.69,337,0,1323,,
37,September,12.47,7.93,0.445,0.2,68.0,6.81,355,0,1521,,
37,October,5.77,8.35,0.456,0.2,85.5,10.05,338,0,1444,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
