NWA 1998 Hydrolab Data,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
1,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,,,,,
,,,,,,,,,,Averaged,Temperature,pH,SpCond,DO
May,11.09,8.35,1.702,n/a,n/a,9.41,169,0,,Pond 1, Degree C,,mS/cm,mg/l
,11.05,8.36,1.708,n/a,n/a,9.02,159,0.9,,May,11.07,8.355,1.702,9.215
June,17.92,7.61,1.92,1,58.8,6.1,388,0,,June,17.92,7.605,1.92,5.595
,17.92,7.6,1.92,1,57.4,5.09,388,0.2,,July,20.435,8.605,1.91,6.88
July,20.46,8.61,1.91,1,88.3,6.93,425,0,,August,22.605,8.175,1.2,2.775
,20.41,8.6,1.91,1,86.8,6.83,424,0.4,,September,14.99,8.565,2.535,6.1
August,22.73,8.18,2.31,1.2,35.5,2.87,406,0,,October,7.855,8.25,2.5895,11.915
,22.48,8.17,2.31,1.2,33,2.68,406,0.1,,,,,,
Septembar,14.98,8.6,2.53,1.4,64.6,6.14,306,0,,,,,,
,15,8.53,2.54,1.4,63.8,6.06,309,0.2,,,,,,
October,7.85,8.27,2.586,n/a,n/a,12.31,305,0,,,,,,
,7.86,8.23,2.593,n/a,n/a,11.52,294,0.4,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
15,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,,,,,
,,,,,,,,,,,,,,
May,9.75,8.39,0.276,,,8.86,358,0,,,,,,
,9.54,8.28,0.276,,,8.34,346,0.6,,Averaged,Temperature,pH,SpCond,DO
June,15.75,8.52,0.276,0.1,82.1,7.72,389,0,,Pond 15, Degree C,,mS/cm,mg/l
,,,,,,,,,,May,9.645,8.335,0.276,8.6
July,20.46,8.61,1.91,1,88.3,6.93,425,0,,June,15.75,8.52,0.276,7.72
,20.41,8.6,1.91,1,86.8,6.83,424,0.4,,July,20.435,8.605,1.91,6.88
August,20.35,8.21,0.352,0.2,76.7,6.55,339,0,,August,20.37,8.14,0.359,6.375
,20.39,8.07,0.366,0.2,72.8,6.2,346,0,,September,,,,
Septembar,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,,October,5.02,8.62,0.346,10.73
,,,,,,,,,,,,,,
October,5.02,8.62,0.346,,,10.73,263,0.2,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pond,Temp,pH,SpCond,Salin,DO,DO,Redox,Depth,,,,,,
25,degC,units,mS/cm,ppt,%Sat,mg/l,mV,meters,,,,,,
,,,,,,,,,,,,,,
May,10.77,8.23,1.6,,,8.66,200,0,,,,,,
,10.76,8.25,1.6,,,8.44,163,0.7,,Averaged,Temperature,pH,SpCond,DO
June,17.66,8.87,1.77,0.9,108.3,9.66,328,0,,Pond 25, Degree C,,mS/cm,mg/l
,17.63,8.86,1.79,1,107.6,9.6,323,0.4,,May,10.765,8.24,1.6,8.55
July,18.73,8.8,0.3,0.1,105.8,8.66,395,0,,June,17.645,8.865,1.78,9.63
,18.32,8.74,0.3,0.1,103.6,8.55,400,0.1,,July,18.525,8.77,0.3,8.605
August,23.89,9.91,2.08,1.1,135.2,10.7,268,0,,August,23.925,9.935,2.08,10.635
,23.96,9.96,2.08,1.1,133.6,10.57,263,0.1,,September,13.67,9.8,2.35,7.995
Septembar,13.67,9.77,2.35,1.3,82.3,8.05,189,0,,October,6.97,9.61,2.366,15
,13.67,9.83,2.35,1.3,81.2,7.94,189,0.1,,,,,,
October,6.97,9.61,2.366,,,15,182,0.1,,,,,,
,,,,,,,,,,,,,,
