Hydrolab Data for April - October 1999,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pond #,Date,Time,Temp,pH,SpCond,Salin,DO,Redox,Depth,Marker1,Marker2,Marker3,NewMark
,MMDDYY,HHMMSS,degC,units,mS/cm,ppt,mg/l,mV,m,cm,cm,cm,cm
1,,,,,,,,,,,,,
,42099,100418,7.16,7.71,2.17,1.20,12.50,493,0.0,,,,
,42099,100530,7.23,7.68,2.17,1.20,12.76,490,0.3,,,,
,51399,131359,8.62,8.29,2.35,1.30,10.78,280,0.0,147.5,70,,
,51399,131438,8.53,8.29,2.39,1.30,10.71,279,0.4,,,,
,61699,111000,22.13,8.09,2.40,1.0,11.12,491,0.0,71,148.0 cts,,
,61699,111200,21.58,8.16,2.41,1.0,11.19,473,0.3,,,,
,71399,132059,23.58,9.41,2.37,1.30,6.75,277,0.0,,,,
,71399,132150,23.62,9.41,2.42,1.30,6.70,278,0.4,,,,
,81199,111051,20.02,8.60,2.50,1.30,10.38,316,0.0,,,,
,81199,111152,19.97,8.66,2.46,1.30,9.69,316,0.5,,,,
,91099,111513,13.39,8.60,2.65,1.40,12.49,312,0.0,,,,
,91099,111616,13.37,8.58,2.62,1.40,12.23,314,0.4,,,,
,101399,132854,4.71,7.50,2.74,1.50,15.86,469,0.0,,,,
,101399,132916,4.71,7.55,2.74,1.50,15.73,469,0.4,,,,
15,,,,,,,,,,,,,
,42099,101543,7.55,9.64,0.204,0.10,15.01,422,0.0,,,,
,42099,101634,7.4,9.67,0.204,0.10,15.53,420,0.2,,,,
,51399,130458,10.99,8.95,0.275,0.10,11.32,250,0.0,124.5,,,
,51399,130550,9.89,8.98,0.274,0.10,11.67,249,0.2,,,,
,61699,113000,17.75,8.52,0.35,0.10,10.09,432,0.0,Dry,,,
,61699,113200,15.55,8.5,0.34,0.10,10.60,422,0.1,,,,
,71399,132059,23.58,9.41,2.37,1.30,6.75,277,0.0,,,,
,71399,132150,23.62,9.41,2.42,1.30,6.70,278,0.4,,,,
,81199,111051,20.02,8.60,2.50,1.30,10.38,316,0.0,,,,
,81199,111152,19.97,8.66,2.46,1.30,9.69,316,0.5,,,,
,91099,111513,13.39,8.60,2.65,1.40,12.49,312,0.0,,,,
,91099,111616,13.37,8.58,2.62,1.40,12.23,314,0.4,,,,
,101399,132854,4.71,7.50,2.74,1.50,15.86,469,0.0,,,,
,101399,132916,4.71,7.55,2.74,1.50,15.73,469,0.4,,,,
25,,,,,,,,,,,,,
,42099,103901,8.99,8.48,1.55,0.80,12.31,407,0.0,,,,
,42099,103933,9.02,8.48,1.54,0.80,11.9,392,0.2,,,,
,51399,124001,9.05,8.46,1.83,1.0,12.44,164,0.0,dry,44.5,71,
,51399,124048,8.69,8.46,1.84,1.0,12.42,105,0.3,"Orange,cts",Blue,Orange,
,61699,115900,22.25,8.95,2.01,1.0,14.36,358,0.0,75.5,47.5,dry,
,61699,120100,22.09,8.97,2.02,1.0,14.48,351,0.2,,,,
,71399,140615,24.65,10.64,2.01,1.1,10.74,248,0.0,,,,
,71399,140706,24.47,10.63,2.03,1.1,10.39,243,0.5,,,,
,81199,154256,20.7,10.31,0.779,0.4,10.7,240,0.0,,,,
,81199,154353,20.62,10.33,2.16,1.2,10.6,234,0.3,,,,
,91099,104514,13.99,9.96,2.36,1.3,16.20,243,0.0,,,,
,91099,104739,12.65,9.93,2.43,1.3,13.74,248,0.2,,,,
,101399,141733,6.46,9.04,2.54,1.4,17.31,380,0.0,,,,
,101399,141817,5.57,9.17,2.56,1.4,15.30,379,0.3,,,,
50,,,,,,,,,,,,,
,42099,114846,8.7,8.66,3.36,1.8,12.05,279,0.0,,,,
,42099,114911,8.77,8.63,3.36,1.8,11.82,278,0.1,,,,
,51399,122132,10.46,8.13,4.89,2.7,10.42,268,0.0,dry,103,dry,
,51399,122214,10.45,8.13,4.89,2.7,10.33,269,0.1,,,,
,61699,121511,22.81,8.20,6.05,2.9,8.93,399,0.0,dry,104,dry,
,61699,121712,22.66,8.20,6.07,2.9,8.65,401,0.1,,,,
,71399,150048,25.9,9.41,6.23,3.4,10.98,191,0.0,,,,
,71399,150155,25.71,9.38,6.23,3.4,10.58,157,0.1,,,,
,81199,155622,21.05,8.94,4.16,2.3,14.9,241,0.0,,,,
,81199,155805,20.44,8.86,7.13,4.0,15.84,195,0.1,,,,
,91099,102725,11.65,8.63,8.19,4.6,12.09,293,0.0,,,,
,91099,102953,11.44,8.66,8.19,4.6,10.3,225,0.1,,,,
,101399,140836,3.95,8.48,9.25,5.2,14.62,405,0.0,,,,
65,,,,,,,,,,,,,
,42099,110851,8.37,8.76,2.57,1.4,13.16,209,0.0,,,,
