WEVS 1993 Data Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pond I.D.,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930241,1B,29-Apr-93 ,113,1330,1254 ,1660,20.89,19.9,168.2,0,9.69,0.989,L0.01,0.039,0,0.49 ,0.324 ,0.161 ,0,0.07,138,0,7.44,852.2,714.2,35.9,7.8,133,9.8,0.006,0.073,0.039,0.034,801,16.9,52.2,122,7.2,75.0,10.5,,
930317,1B,13-May-93 ,133,1200,1476 ,1905,22.59,22.4,201.1,0,5.92,0.192,L0.01,0.066,0,0.96 ,0.920 ,0.039 ,0,0.09,165,0,7.73,999.3,834.3,40.8,7.6,156,11.37,0.048,0.108,0.084,0.024,947,19.1,59.7,143,5.7,20.6,3.6,2.08,
930412,1B,27-May-93 ,147,1220,1585 ,2044,23.51,23.3,206,0,3.4,0.209,L0.01,0.059,0,1.11 ,1.07,0.038 ,0,0.1,169,0,7.98,1100.8,931.8,44.7,7.6,177,8.49,0.021,0.12,0.06,0.06,1022,19.7,63.6,149,6.4,9.0,1.4,1.55,
930503,1B,09-Jun-93 ,160,1218,1468 ,2097,25.99,25.6,,,,0.39,L0.01,0.046,,1.24 ,1.17,0.070 ,,0.13,277,12,8.58,,,48.7,,189,1.96,L0.002,0.061,0.048,0.013,1011,20.5,70.5,147,6.5,77.4,11.9,2.74,
930723,1B,23-Jun-93 ,174,1430,1722 ,2130,26.4,26.1,141.4,0,1.1,0.3,L0.01,0.053,0,1.14 ,1.09,0.050 ,0,0.08,116,0,8.3,1188.8,1072.8,52.8,8.2,199,2.19,0.011,0.069,0.057,0.012,1155,21.3,73.9,148,7.0,64.5,9.2,11.6,
930761,1B,08-Jul-93 ,189,1420,1570 ,2020,24.78,23.6,118.2,4.8,0.4,1.18,L0.01,0.062,0.01,1.34 ,1.1,0.241 ,0,0.08,105,4,8.68,1061.6,956.6,47.9,8.3,179,0.67,L0.002,0.092,0.043,0.049,1064,17.8,66.8,130,5.7,62.1,10.9,23.7,
930945,1B,22-Jul-93 ,203,1800,1633 ,2055,27.61,26.1,149.9,0,1.74,1.51,L0.01,0.05,0,1.42 ,1.11,0.309 ,0,0.08,123,0,8.13,1112.1,989.1,51.3,8.5,184,2.11,L0.002,0.067,0.038,0.029,1087,18.9,73.7,142,5.7,134.3,23.6,32.4,
930985,1B,04-Aug-93 ,216,1245,1655 ,2160,28,27.1,149.9,0,3.67,0.903,L0.01,0.079,0,1.51 ,1.32,0.189 ,0,0.09,123,0,7.81,1164.9,1041.9,66.9,10.4,195,1.4,L0.002,0.068,0.042,0.026,1078,23.2,72.5,145,5.6,89.6,16.1,23.8,
