WEVS 1995 Data Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Station,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,,,,,,,,,,,,,,,,,,,,,,,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950350,1A,30-May-95 ,150,1050,1555.8,1980,26.81,26.5,264.5,0,6.62,0.306,L0.01!,0.082,,1.908,1.84,0.068,0,0.1,217,0,7.8,1091.5,874.5,51.4,8.8,179,11.5,0.009,0.074,0.046,0.028,959,23.7,58.9,142,5.2,28.2,5.4,5,,,,,,,,,,,,,,,,,,,,,,,
950577,1A,20-Jun-95 ,171,0930,1655.0043,2130,28.92,28.2,273.1,0,12.48,0.715,0.01,0.26,,2.364,2.27,0.094,0,0.1,224,0,7.54,1160,936,56.4,9,192,6.66,0.045,0.121,0.096,0.025,1028,23.9,65.5,148,8.9,73.8,8.3,13.1,,,,,,,,,,,,,,,,,,,,,,,
950722,1A,12-Jul-95 ,193,1400,1723.09,2214,29.71,28.744,,0,,0.967,L0.01!,0.092,,2.200,2.041,0.159,0,0.1,210,0,7.68,0,0,59.3,0,200,4.79,0.022,0.096,0.075,0.021,1090,25,67.9,150,7.1,118.7,16.7,16.5,,,,,,,,,,,,,,,,,,,,,,,
950845,1A,25-Jul-95 ,206,1040,1797.8,2230,40.70,29.4,,0,,11.3,L0.01!,0.137,,3.530,2.24,1.29,0,0.1,212,0,7.41,0,0,60.4,0,204,11.3,0.023,0.22,0.084,0.136,1150,25.6,70.2,149,10.2,214.3,21.0,12,,,,,,,,,,,,,,,,,,,,,,,
951064,1A,14-Aug-95 ,226,1310,1734.09189,2220,33.48,29.8,,0,,3.68,0.023,0.33,,2.866,2.44,0.426,0,0.1,210,0,7.5,0,0,56.2,0,204,6.99,0.052,0.143,0.109,0.034,1100,24.8,70.9,145,10.1,279.1,27.7,5.8,,,,,,,,,,,,,,,,,,,,,,,
951245,1A,28-Aug-95 ,240,1345,1747.77,2250,29.98,29.3,246.2,0,3.61,0.683,L0.01!,0.068,0,2.310,2.16,0.15,0,0.09,202,0,8.03,1195.3,993.3,59,9.1,203,0.98,0.031,0.116,0.113,0.003,1120,26.2,73.3,144,5.3,587.1,110.6,13.1,,,,,,,,,,,,,,,,,,,,,,,
951338,1A,12-Sep-95 ,255,1240,,,30.82,30.6,,,,0.218,L0.01!,0.114,0,2.575,2.54,0.035,0,,,,,,,,,,,0.055,0.131,0.11,0.021,,,,,7.3,26.8,3.7,2.9,,,,,,,,,,,,,,,,,,,,,,,
951825,1A,17-Oct-95 ,290,1140,,,30.67,30,,,,0.665,0.034,0.109,0,2.702,2.59,0.112,0,,,,,,,,,,,0.024,0.107,0.08,0.027,,,,,6.9,63.5,9.2,6.4,,,,,,,,,,,,,,,,,,,,,,,
