DATA table Built from table WEVS_96 on 27-FEB-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Station,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,,,,,,,,,,,,,,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960347,1A,09-May-96 ,130,1123,661.00,992.00,15.95,15.20,137.70,0.00,9.54,0.75,L0.010,0.09,0.00,1.35,1.22,0.13,0.00,0.04,113.00,0.00,7.36,458.00,345.00,20.20,8.10,71.40,6.93,0.05,0.21,0.10,0.105,389.00,9.96,29.90,65.70,6.695,18.336,2.739,23.94,,,,,,,,,,,,,,
960507,1A,10-Jun-96 ,162,1520,918.00,1312.00,21.95,19.60,193.80,0.00,7.36,2.35,L0.010,0.27,0.00,2.01,1.56,0.45,0.00,0.10,159.00,0.00,7.62,659.90,500.90,28.30,8.00,104.00,8.72,0.05,0.18,0.11,0.070,538.00,13.40,37.40,92.80,6.133,86.642,14.126,40.12,,,,,,,,,,,,,,
960810,1A,09-Jul-96 ,191,1425,1250.00,1617.00,27.16,24.50,257.20,0.00,12.32,2.66,0.05,0.31,0.00,2.92,2.42,0.50,0.00,0.08,211.00,0.00,7.52,847.20,636.20,37.30,8.20,133.00,16.60,0.10,0.27,0.20,0.076,754.00,16.50,45.40,120.00,6.207,90.329,14.554,137.07,,,,,,,,,,,,,,
961092,1A,13-Aug-96 ,226,1335,1342.00,1742.00,26.78,25.20,273.10,0.00,10.14,1.58,0.20,2.36,0.01,3.65,3.42,0.23,0.00,0.05,224.00,0.00,7.63,936.40,712.40,41.40,8.30,148.00,26.50,0.21,0.34,0.29,0.050,792.00,18.00,49.60,131.00,8.120,81.554,10.043,3.2,,,,,,,,,,,,,,
961459,1A,18-Sep-96 ,262,1245,,1800.00,25.90,24.50,286.50,1.80,1.92,1.40,0.04,0.11,0.01,2.07,1.86,0.21,0.00,SusInt,238.00,1.50,8.37,961.10,723.10,43.40,8.40,154.00,9.58,0.07,0.16,0.12,0.039,813.00,19.20,52.80,131.00,7.815,92.645,11.855,2.98,,,,,,,,,,,,,,
961603,1A,15-Oct-96 ,289,1335,1425.00,1827.00,28.15,24.30,297.40,0.00,2.93,3.85,0.02,0.07,0.00,2.20,1.80,0.40,0.00,0.10,244.00,0.00,8.20,982.60,738.60,44.70,8.50,158.00,4.23,0.03,0.12,0.07,0.055,865.00,19.40,54.30,133.00,11.343,180.658,15.927,3.78,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960348,1B,09-May-96 ,130,1145,655.00,991.00,16.28,14.70,137.70,0.00,9.99,1.58,L0.010,0.17,0.00,1.45,1.16,0.29,0.00,0.05,113.00,0.00,7.34,456.70,343.70,20.20,8.20,71.70,6.77,0.04,0.19,0.09,0.097,384.00,10.10,29.70,64.70,6.400,42.038,6.568,12.93,,,,,,,,,,,,,,
