"pond_id","sample_date","Time","water temp C","pH","Conductivity_uS_cm","DO (mg/L)","SRP MDL =.00567","TDP MDL = .0041","TP MDL = 0.0041","NH3 MDL = .021","UREA MDL = .0202","NO3 MDL = .0073","TDN_mg_L","TN MDL = .0447","SO4 MDL = 1.015","Delta2H_‰","Delta18O_‰","ChlA","Alk MDL = 3.16","Notes","Delta 2H (‰)","Delta 18O (‰)","Tube #","Depth (m)","mL Filtered","L filtered","Rep #","Abs @ 750","Abs @ 665","Abs @ 649","Average","%Error","analyzing_date"
"1",2014-08-25,NA,21,NA,2.74,NA,0.0394,0.06748875,0.07475875,0.123,NA,NA,NA,NA,NA,-96,-9.42,38.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2015-07-07,NA,NA,NA,NA,NA,0.077,NA,0.2908827102677,0.007,NA,0.00145,NA,NA,NA,-90.86,-8.59,31.9406349206349,NA,NA,-90.86,-8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2016-04-20,10:05:00,NA,8.06,2385,NA,0.0032,NA,0.21,0.0065,NA,0.007725,NA,NA,1378.875,-97.45,-10.52,33.285,NA,NA,-97.45,-10.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2016-07-18,NA,NA,8.68,2165,NA,0,NA,0.174,0.032,NA,-0.0054,NA,NA,1625.92721003,-86.74,-8.19,28.0278421052632,NA,NA,-86.74,-8.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2017-07-11,NA,NA,NA,NA,NA,0.0158143,0.136,0.292,0.04945625,NA,0.0382,NA,NA,NA,NA,NA,64.32625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2017-10-16,NA,NA,NA,NA,NA,-0.0309,0.04690448,0.23298092,0.1632,NA,0.02175,NA,NA,NA,NA,NA,74.2960084033613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2019-05-22,NA,NA,9.95,2621,NA,0.0022,0.035,0.271,-0.01769364,0.14435,0.0153,NA,2.581,1963.695,NA,NA,49.476,340.41,NA,NA,NA,4,"Surface",100,0.1,1,0.003,0.045,0.017,NA,NA,2019-07-18
"1",2019-07-09,NA,NA,9.03,2994,NA,0.01715,0.0655,0.3225,0.0172,0.167135925,0.25885,NA,3.225,1156.06,NA,NA,49.8185185185185,329.69,NA,NA,NA,32,"Surface",54,0.054,1,0.002,0.025,0.01,NA,NA,2019-07-18
"1",2020-09-09,11:38:00,12.11,8.04,3458,13.5,0.02755,0.064,0.1925,0.041975,0.26854085544,0.011,2.341,2.3885,1917.365,NA,NA,56.6564417670683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2021-05-13,NA,16.2,8.47,3662,NA,0.0171,0.064,0.2485,0.08525,0.39515,0.00925,2.463,3.191,411.08,NA,NA,35.844578313253,NA,NA,NA,NA,52,"Surface",166,0.166,1,0.016,0.067,0.034,NA,NA,2021-10-21
"1",2021-07-15,NA,23.71,8.13,4096,NA,0.02015,0.02473392,0.16121328,-0.0595,0.1991,0.007025,4.379,4.7875,1410.39,NA,NA,98.1775,NA,"YSI in lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2021-10-13,NA,NA,8.02,4884,NA,0.0168,0.0635,0.305,-0.0765,0.466,0.0546,5.153,6.7915,965.78,NA,NA,129.519444444444,NA,"YSI in lab following day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2022-05-11,NA,16.9,7.64,3737,NA,0.0087,0.0565,0.305,0.082,0.22275,0.07165,3.2975,4.0065,2309.11,NA,NA,66.5866363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
