"","Sample","Pond","Date","Month","Year","Julianday","Time","TDS_mg.L","Cond_uS.cm","TOC_mg.L","DOC_mg.L","HCO3_mg.L","CO3_mg.L","FreeCO2_mg.L","POC_mg.L","NO3NO2_mg.L","NH3_tot_mg.L","NH3_union_mg.L","TN_mg.L","DN_mg.L","PN_mg.L","OH_mg.L","F_diss_mg.L","Alk_tot_mg.L","Alk_p_mg.L","pH","Hard_tot_mg.L","Hard_nonCO3_mg.L","Na_diss_mg.L","Na_perc","Mg_diss_mg.L","SiO2_mg.L","P_diss_ortho_mg.L","P_tot_mg.L","P_diss_mg.L","P_part_mg.L","SO4_diss_mg.L","Cl_diss_mg.L","K_diss_mg.L","Ca_diss_mg.L","PCPN","PCPP","PNPP","Chla_mg.L"
"1","930241","1B",1993-04-29,"April",1993,113,"13:30",1254,NA,20.89,19.9,168.2,0,9.69,0.989,0.001,0.039,0,0.49,0.324,0.161,0,0.07,138,0,7.44,852.2,714.2,35.9,7.8,133,9.8,0.006,0.073,0.039,0.034,801,16.9,52.2,122,7.2,75,10.5,NA
"2","930317","1B",1993-05-13,"May",1993,133,"12:00",1476,NA,22.59,22.4,201.1,0,5.92,0.192,0.001,0.066,0,0.96,0.92,0.039,0,0.09,165,0,7.73,999.3,834.3,40.8,7.6,156,11.37,0.048,0.108,0.084,0.024,947,19.1,59.7,143,5.7,20.6,3.6,2.08
"3","930412","1B",1993-05-27,"May",1993,147,"12:20",1585,NA,23.51,23.3,206,0,3.4,0.209,0.001,0.059,0,1.11,1.07,0.038,0,0.1,169,0,7.98,1100.8,931.8,44.7,7.6,177,8.49,0.021,0.12,0.06,0.06,1022,19.7,63.6,149,6.4,9,1.4,1.55
"4","930503","1B",1993-06-09,"June",1993,160,"12:18",1468,NA,25.99,25.6,NA,NA,NA,0.39,0.001,0.046,NA,1.24,1.17,0.07,NA,0.13,277,12,8.58,NA,NA,48.7,NA,189,1.96,0.001,0.061,0.048,0.013,1011,20.5,70.5,147,6.5,77.4,11.9,2.74
"5","930723","1B",1993-06-23,"June",1993,174,"14:30",1722,NA,26.4,26.1,141.4,0,1.1,0.3,0.001,0.053,0,1.14,1.09,0.05,0,0.08,116,0,8.3,1188.8,1072.8,52.8,8.2,199,2.19,0.011,0.069,0.057,0.012,1155,21.3,73.9,148,7,64.5,9.2,11.6
"6","930761","1B",1993-07-08,"July",1993,189,"14:20",NA,NA,24.78,23.6,118.2,4.8,0.4,1.18,0.001,0.062,0.01,1.34,1.1,0.241,0,0.08,105,4,8.68,1061.6,956.6,47.9,8.3,179,0.67,0.001,0.092,0.043,0.049,1064,17.8,66.8,130,5.7,62.1,10.9,23.7
"7","930945","1B",1993-07-22,"July",1993,203,"18:00",1633,NA,27.61,26.1,149.9,0,1.74,1.51,0.001,0.05,0,1.42,1.11,0.309,0,0.08,123,0,8.13,1112.1,989.1,51.3,8.5,184,2.11,0.001,0.067,0.038,0.029,1087,18.9,73.7,142,5.7,134.3,23.6,32.4
"8","930985","1B",1993-08-04,"August",1993,216,"12:45",1655,NA,28,27.1,149.9,0,3.67,0.903,0.001,0.079,0,1.51,1.32,0.189,0,0.09,123,0,7.81,1164.9,1041.9,66.9,10.4,195,1.4,0.001,0.068,0.042,0.026,1078,23.2,72.5,145,5.6,89.6,16.1,23.8
"9","931288","1B",1993-08-18,"August",1993,230,"16:29",1723,2153,28.24,28.1,121.9,2.4,0.62,0.139,0.001,NA,NA,1.18,1.15,0.027,0,0.1,104,2,8.5,1173,1069,55.4,8.7,200,0.38,0.001,0.047,0.041,0.006,1180,17.8,66.7,140,6,59.7,10,1.62
"10","931366","1B",1993-08-27,"August",1993,239,"14:32",1775,2199,26.37,25.9,128,0,4.04,0.465,0.001,NA,NA,0.49,0.412,0.074,0,0.09,105,0,7.7,1190.3,1085.3,60.2,9.3,203,1.13,0.006,0.056,0.044,0.012,1212,19.9,72.6,142,7.3,99.9,13.6,6.02
"11","931473","1B",1993-09-15,"September",1993,258,"12:00",1731,2178,25.22,25,141.4,0,1.98,0.222,0.001,0.03,0,0.39,0.351,0.037,0,0.09,116,0,8.05,1163.1,1047.1,52.5,8.4,197,0.99,0.001,0.043,0.036,0.007,1182,19.8,67.8,141,7,81.8,11.7,19.8
"12","931706","1B",1993-10-14,"October",1993,287,"15:00",NA,3194,25.72,25.4,157.3,0,1.74,0.322,0.001,0.054,0,0.98,0.94,0.039,0,0.09,129,0,8.15,1229.4,1100.4,60.1,9,204,0.36,0.001,0.041,0.03,0.011,1330,22.5,69.6,156,9.6,75.5,7.8,3.93
"13","931701","20",1993-10-14,"October",1993,287,"11:20",NA,1619,28.86,28.4,587.6,0,7.67,0.461,0.001,0.057,0,0.96,0.9,0.062,0,0.1,482,0,8.08,827,345,65.4,14.3,164,5.67,0.003,0.085,0.037,0.048,473,16.7,21,60.8,8.7,24.8,2.9,4.74
"14","930231","25",1993-04-29,"April",1993,113,"10:30",813,1178,23.48,22.8,195,0,9.78,0.68,0.001,0.042,0,0.5,0.406,0.094,0,0.09,160,0,7.5,520.9,360.9,32.1,10.6,83.1,18.66,0.101,0.194,0.173,0.021,445,15.4,51.2,71.6,8.4,83.5,9.9,NA
"15","930319","25",1993-05-13,"May",1993,133,"13:00",NA,1367,27.4,27,284,0,11.57,0.399,0.001,0.067,0,1.04,0.97,0.069,0,0.11,233,0,7.59,651.5,418.5,38.1,10.2,103,24.99,0.336,0.417,0.381,0.036,524,17.7,62.2,91.1,6.7,28.6,4.2,2.68
"16","930407","25",1993-05-27,"May",1993,147,"13:45",NA,NA,28.16,28,337.7,0,12.54,0.157,0.001,0.076,0,1.24,1.22,0.021,0,0.11,277,0,7.63,686.8,409.8,42,10.6,110,21.9,0.312,0.39,0.38,0.01,518,19.4,68.7,93.7,8.7,40.5,4.6,2.47
"17","930509","25",1993-06-10,"June",1993,160,"16:10",1223,1672,32.31,32,363.3,0,17,0.314,0.001,0.073,0,1.34,1.29,0.048,0,0.13,298,0,7.53,792.5,494.5,52.1,11.2,127,19.02,0.321,0.56,0.401,0.159,637,21.5,80,108,7.6,5.1,0.7,2.03
"18","930721","25",1993-06-25,"June",1993,174,"13:50",1282,NA,32.21,30,395,0,4.81,2.21,0.001,0.045,0,1.34,1.12,0.224,0,0.11,324,0,8.11,848.7,524.7,56,11.3,137,13.56,0.259,0.371,0.341,0.03,663,22.2,81.7,114,11.5,190,16.5,1.49
"19","930768","25",1993-07-07,"July",1993,189,"17:35",1114,NA,26.38,26,298.9,13.08,1.51,0.378,0.001,0.043,0,1.08,1.03,0.052,0,0.1,267,10.9,8.52,741,474,48.2,11.3,120,9.2,0.161,0.237,0.23,0.007,595,16.3,66.1,98.9,8.5,139.3,16.4,1.82
"20","930937","25",1993-07-21,"July",1993,202,"13:10",1223,1634,28.08,27.8,346.2,0,9.29,0.277,0.001,0.043,0,1.08,1.03,0.054,0,0.11,284,0,7.77,813.4,529.4,56.7,12.1,126,11.67,0.076,0.155,0.137,0.018,661,12.6,66.1,118,6,39.7,6.6,3.47
"21","930989","25",1993-08-05,"August",1993,216,"14:40",1254,1774,29.67,29.2,351.1,0,4.48,0.471,0.001,0.058,0,1.3,1.21,0.092,0,0.1,288,0,8.09,823.9,535.9,60,12.5,134,0.24,0.013,0.1,0.078,0.022,692,14.7,71.7,109,6,55.2,9.2,3.28
"22","931286","25",1993-08-19,"August",1993,230,"15:10",1226,NA,29.66,29.5,353.5,0,17.32,0.161,0.001,NA,NA,1.18,1.15,0.028,0,0.11,290,0,7.51,791.9,501.9,59.9,12.9,132,0.8,0.035,0.11,0.102,0.008,672,15,72.1,99.5,6.7,51.9,7.7,3.19
"23","931367","25",1993-08-27,"August",1993,239,"15:22",1289,1796,29.52,29.3,340.1,0,9.79,0.219,0.001,NA,NA,0.5,0.469,0.033,0,0.12,279,0,7.74,822.6,543.6,61.2,12.6,140,0.85,0.015,0.082,0.074,0.008,725,18.2,76.3,98.6,7.7,70.6,9.1,3.3
"24","931474","25",1993-09-15,"September",1993,258,"12:01",1165,NA,6.39,6.17,299.9,0,5.06,0.221,0.001,0.015,0,0.47,0.437,0.033,0,0.1,246,0,7.97,730.1,484.1,56.8,13.1,127,0.3,0.005,0.06,0.053,0.007,660,17.3,72.9,83,7.8,81.4,10.4,15.79
