"","Pond","Date","Region","Analyzing_date","250_nm","254_nm","280_nm","350_nm","365_nm","370_nm","Filter","Comments","pH","Fe_mg.L","SO4_mg.L","DOC_mg.L","SUVA","Bottle_PCO2","Wholewater_THg_ng.L","Wholewater_MeHg_ng.L","MeHg_std.err","MeHg_perc","CO2_umol.L","CH4_umol.L","DIC_mg.L","TDC_mg.L","Chla","Temp_degC","Cond_uS.cm","DO_perc","DO_mg.L","Secchi_cm","Depth_m","ORP","Airtemp_C","Cloud"
"1","1",2006-07-20,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.36,NA,640.98,58.12,0.52312456987777,NA,0.390037014894321,0.424694822258091,0.2837873729088,108.8857739,NA,NA,8.57103915,65.03,NA,22.03,1305,NA,8.91,NA,NA,NA,NA,NA
"2","1",2006-09-06,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.43,NA,814.183,22.25,1.23454606717416,NA,0.277324738105874,0.142879923559509,0.140907449349291,51.52079996,NA,NA,36.5436454,132.165,NA,18.2,1439,NA,7.94,NA,NA,NA,NA,NA
"3","1",2009-07-06,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76,NA,1213.85,29.48,2.25179782903664,NA,1.2473,0.217253645836063,0.00764089752114688,NA,NA,NA,NA,NA,NA,21.78,2394,NA,3.3,NA,NA,NA,NA,NA
"4","1",2010-06-02,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.12,NA,NA,23.23,2.60589754627637,NA,1.98253071592471,0.2826,NA,14.2545080250213,NA,NA,NA,NA,NA,16.75,2236,NA,7.51,NA,NA,NA,NA,NA
"5","1",2010-07-05,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.11,NA,NA,26.1,2.31287356321839,NA,3.06295554437076,0.52,NA,16.9770665119733,NA,NA,NA,NA,NA,20.31,2207,NA,3.55,NA,NA,NA,NA,NA
"6","1",2010-08-04,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.45,NA,NA,22.64,2.94231448763251,NA,2.32337196849541,0.2349,NA,10.1103053314411,NA,NA,NA,NA,NA,21.86,2307,NA,3.28,NA,NA,NA,NA,NA
"7","1",2011-05-31,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.18,NA,NA,29.61,NA,88,1.035,1.3214,NA,127.671497584541,NA,NA,NA,NA,NA,12.23,2507,NA,8.47,NA,NA,NA,NA,NA
"8","1",2011-06-28,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.31,NA,NA,71.64,NA,101,2.025,0.1533,NA,7.57037037037037,NA,NA,NA,NA,NA,23.47,2590,NA,6.54,NA,NA,NA,NA,NA
"9","1",2011-07-28,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.36,NA,NA,52.93,NA,121,0.77,0.322,NA,41.8181818181818,NA,NA,NA,NA,NA,21.4,2606,NA,10.99,NA,NA,NA,NA,NA
"10","1",2011-08-22,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.53,NA,NA,42.62,NA,936,0.705,0.0958,NA,13.5886524822695,NA,NA,NA,NA,NA,23.43,2669,NA,9.97,NA,NA,NA,NA,NA
"11","1",2012-05-31,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.11,NA,NA,21.02,3.23263558515699,125,1.43310609239894,0.810178719404177,NA,56.533059464424,NA,NA,NA,NA,NA,15.61,2693,NA,3.65,NA,NA,NA,NA,NA
"12","1",2012-06-28,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,NA,NA,75.5,0.616185430463576,18,1.95955094805882,0.397613421749183,NA,20.291047912945,NA,NA,NA,NA,NA,17.4,2749,NA,2.79,NA,NA,NA,NA,NA
"13","1",2012-07-26,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.14,NA,NA,99.8,0.673276553106212,65,1.27682429903139,0.311445296590254,NA,24.39218119725,NA,NA,NA,NA,NA,24.94,2840,NA,4.93,NA,NA,NA,NA,NA
"14","1",2012-08-30,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27,NA,NA,73.87,0.968552863137945,16,1.19007481358884,0.238507252945188,NA,20.0413663260326,NA,NA,NA,NA,NA,18.84,2849,NA,9.22,NA,NA,NA,NA,NA
"15","1",2020-06-11,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17,NA,1746,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.68,3103,72.3,6.92,40,NA,NA,NA,NA
"16","1",2020-06-29,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,"NO YSI",NA,NA,1771.34,28.6,0.0207932517482517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA
"17","1",2020-07-15,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.41,NA,1798.17,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,2602,74.8,6.95,64,NA,NA,NA,NA
"18","1",2020-07-29,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.86,NA,1854.29,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3036,151.2,12.28,33,NA,NA,NA,NA
"19","1",2020-08-12,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78,"<0.02",1972.26,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,2840,120.1,11.02,10,NA,NA,NA,NA
"20","1",2020-08-23,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62,NA,2077.41,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,3110,124.5,10.83,45,NA,NA,NA,NA
"21","1",2020-09-05,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.72,NA,2115.88,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,2829,110.9,10.86,27,NA,NA,NA,NA
"22","1",2020-09-20,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,2222.86,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,2839,123,12.4,21,NA,NA,NA,NA
"23","1",2020-10-04,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,NA,2154.16,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,2727,149.8,15.55,31,NA,NA,NA,NA
"24","1",2021-05-19,"SDNWA",NA,0.807118,0.72058,0.45563,0.0915415,0.0701539,0.0619189,1.2,NA,9.2,NA,NA,35.98,NA,NA,NA,NA,NA,NA,NA,NA,77.88,NA,40.4091047733333,15.5,3001,NA,NA,NA,NA,162,10.4,5
"25","1",2021-06-06,"SDNWA",NA,0.782374,0.702404,0.434474,0.0869311,0.0655193,0.0589927,1.2,NA,9.36,NA,NA,37.41,NA,NA,NA,NA,NA,NA,NA,NA,79.72,NA,45.8205013333333,20.4,3463,85.2,7.62,7.5,NA,NA,16.6,75
"26","1",2021-06-22,"SDNWA",NA,0.728612,0.811534,0.466297,0.0969061,0.0718018,0.066796,1.2,NA,9.91,NA,NA,41.27,NA,NA,NA,NA,NA,NA,NA,NA,73.91,NA,11.75505892,20.3,3512,NA,12.8,26,NA,NA,18.8,5
"27","1",2021-07-06,"SDNWA","2021-07-07",1.00338,0.901907,0.479693,0.0948342,0.0705584,0.0639718,1.2,NA,8.55,NA,NA,34.95,NA,NA,NA,NA,NA,NA,NA,NA,66.47,NA,75.5192020769231,21.5,3737,98.6,8.5,17,NA,27.8,15.7,90
"28","1",2021-07-22,"SDNWA",NA,0.859257,0.793601,0.481475,0.0994585,0.0749982,0.0682427,1.2,NA,8.6,NA,NA,43.52,NA,NA,NA,NA,NA,NA,NA,NA,73.93,NA,92.4102958,23.9,4107,135.2,11.2,14,NA,108.5,21.6,60
"29","1",2021-08-04,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,36.65,NA,NA,NA,NA,NA,NA,NA,NA,59.85,NA,122.135309,21.5,4071,48.1,4.02,11,NA,32.5,18.8,100
"30","1",2021-08-18,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.65,NA,NA,47.44,NA,NA,NA,NA,NA,NA,NA,NA,66.54,NA,220.772291833333,17.2,3842,47.2,4.19,8,NA,-33.8,17.2,100
"31","1",2021-09-01,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15,NA,NA,47.94,NA,NA,NA,NA,NA,NA,NA,NA,81.21,NA,147.27861,17.4,3754,87.2,7.76,71,NA,-140.2,14.7,100
"32","1",2021-09-19,"SDNWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,49.37,NA,NA,NA,NA,NA,NA,NA,NA,83.3,NA,139.697130833333,12.5,3491,81.4,8.6,67,NA,8.9,15.9,25
"33","1",2022-05-10,"SDNWA","2022-05-11",0.692493,0.663399,0.396096,0.0818851,0.0614876,0.0557988,1.2,NA,8.4,NA,NA,27.89,NA,NA,NA,NA,NA,NA,NA,NA,54.53,NA,65.4604007777778,11.9,2700,110.1,11.78,76,NA,18.1,9.5,100
"34","1",2022-05-24,"SDNWA","2022-05-26",0.863964,0.829973,0.492687,0.0993048,0.0745433,0.0674341,1.2,NA,8.66,NA,NA,34.37,NA,NA,NA,NA,NA,NA,NA,NA,67.34,NA,84.6105356,13.4,3413,107.3,11.9,77,NA,76.6,12.9,5
"35","1",2022-06-08,"SDNWA","2022-06-10",0.942913,0.906103,0.536144,0.10938,0.0824657,0.0748838,1.2,NA,8.7,NA,NA,38.17,NA,NA,NA,NA,NA,NA,NA,NA,72.03,NA,58.5069644,21.5,4322,136,11.65,27,NA,29,21.4,10
"36","1",2022-06-21,"SDNWA","2022-06-23",0.465753,0.448311,0.265525,0.0553999,0.0415375,0.038525,1.2,NA,8.36,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,68.75,NA,247.073741666667,18.8,4318,41.9,3.86,53,NA,102.1,17.2,85
"37","1",2022-07-06,"SDNWA","2022-07-08",0.529485,0.508863,0.302243,0.0639561,0.0486178,0.0440538,1.2,NA,8.57,NA,NA,39.95,NA,NA,NA,NA,NA,NA,NA,NA,71.7,NA,96.8896988,18,4408,65.3,6.01,19.5,NA,-38.1,17.8,99
"38","1",2022-07-19,"SDNWA","2022-07-21",1.02435,0.985625,0.587547,0.130304,0.0994955,0.0905768,1.2,NA,8.38,NA,NA,43.12,NA,NA,NA,NA,NA,NA,NA,NA,68.28,NA,94.4612595,24.9,4927,58.3,4.8,16,NA,48.5,23.3,0
"39","1",2022-08-03,"SDNWA","2022-08-04",1.06118,1.02029,0.604755,0.131933,0.100563,0.0915949,1.2,NA,8.6,NA,NA,43.365,NA,NA,NA,NA,NA,NA,NA,NA,70.575,NA,271.2955358,20.8,4646,101.8,9.07,13,NA,-15.9,14.5,7
"40","1",2022-08-16,"SDNWA","2022-08-17",1.07187,1.03118,0.606452,0.126816,0.0953261,0.086169,1.2,NA,8.48,NA,NA,44.12,NA,NA,NA,NA,NA,NA,NA,NA,69.83,NA,81.1772228,23.6,51.13,78.6,6.62,10,NA,124,21.7,1
"41","1",2022-08-29,"SDNWA","2022-08-30",1.08485,1.0475,0.610515,0.130097,0.0981269,0.0886841,1.2,NA,8.37,NA,NA,46.13,NA,NA,NA,NA,NA,NA,NA,NA,70.93,NA,123.2542228,18.1,4603,63.3,5.92,23,NA,92.1,17.3,1
"42","1",2022-09-12,"SDNWA","2022-09-13",1.15771,1.11215,0.656207,0.141236,0.107189,0.0975796,1.2,NA,8.46,NA,NA,49.34,NA,NA,NA,NA,NA,NA,NA,NA,73.17,NA,111.35897854,14.5,4495,74.4,7.34,9,NA,125.5,11.8,0
"43","1",2023-05-17,"SDNWA","2023-05-19",0.86092,0.826325,0.481942,0.0936824,0.0693607,0.062504,1.2,NA,8.55,NA,NA,38.98,NA,NA,NA,NA,NA,NA,NA,NA,57.285,NA,58.23459568,16.1,3801,73.1,7.02,10,NA,2.1,12.6,40
"44","1",2023-05-30,"SDNWA","2023-06-01",0.989134,0.849924,0.550379,0.107076,0.0790431,0.0712945,1.2,NA,8.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2161015,20.3,4695,108.2,9.73,7,NA,86.9,18.5,0
"45","1",2023-06-13,"SDNWA","2023-06-15",1.11896,1.07535,0.627902,0.12563,0.093637,0.0845005,1.2,NA,8.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3293586666667,22.2,5399,88,7.5,3,NA,-1,23.1,0
"46","1",2023-06-27,"SDNWA","2023-06-29",1.19831,1.5188,0.673457,0.133685,0.0997205,0.0900436,1.2,NA,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.692571,22.2,5704,98.6,8.25,8,NA,-22.4,19.7,85
"47","1",2023-07-11,"SDNWA","2023-07-12",1.273,1.22278,0.704268,0.137088,0.101617,0.0914767,1.2,NA,8.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.416070533333,19.4,5731,95.8,8.58,0,NA,79,15.3,100
"48","1",2023-07-20,"SDNWA","2023-07-21",1.2511,1.20093,0.695613,0.136207,0.10139,0.0915475,1.2,"NO YSI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2717958,NA,NA,NA,NA,NA,NA,NA,NA,NA
