"","Depth_cm","Pond","Date","Be_ppm","B_ppm","Al_ppm","Li_ppm","Ga_ppm","Na_ppm","Mg_ppm","K_ppm","Ti_ppm","Si_ppm","Ca_ppm","Fe_ppm","V_ppm","Cr_ppm","Mn_ppm","Co_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Rb_ppm","Sr_ppm","P_ppm","S_ppm","As_ppm","Se_ppm","Mo_ppm","Cd_ppm","Cs_ppm","Ba_ppm","Ce_ppm","Pb_ppm","Th_ppm","U_ppm","Depth_cm_sum"
"1","0-2",1,2023-07-28,"24.96","144.6","7984","52.36","26.38","5953","4498","12920","1299","229700","53080","10040","137.9","65.63","534.4","BDL","8.159","BDL","244.2","164.9","813.1","924","10380","104.7","84.52","76.31","1.396","21.62","446.5","16.03","8.92","40.37","38.91",0
"2","2-4",1,2023-07-28,"25.51","142.4","10280","55.12","27.5","8770","4946","13260","1027","299100","23400","7171","127.4","64.79","375.1","BDL","2.521","BDL","148.7","170.7","800.8","596.5","6585","106.3","85.97","78.42","1.346","22.27","498","18.63","9.197","40.89","38.8",-2
"3","4-6",1,2023-07-28,"26.6","129.9","13160","49.44","28.91","9412","5384","11640","1011","311400","10490","7581","129.5","64.9","351.2","BDL","1.594","BDL","162.9","175.8","817.6","555","6619","110.3","88.6","80.33","1.387","22.92","440.3","16.97","8.376","41.97","39.68",-4
"4","6-8",1,2023-07-28,"26.34","126.4","BDL","48.96","28.85","8624","6056","13960","1071","313800","12290","8049","130.2","67.45","354","BDL","2.373","BDL","143.4","182","790.4","526.2","6566","110.1","88.44","79.86","1.36","23.05","483","17.83","8.955","41.92","39.32",-6
"5","8-10",1,2023-07-28,"26.54","128.9","16360","54.26","30.02","8966","7344","15540","964","338500","13600","7468","129.7","66.86","346.4","BDL","1.715","BDL","144.1","185.9","801.7","545.5","6248","114.5","88.6","80.09","1.345","23.01","537.1","20.33","9.5","42.18","39.59",-8
"6","10-12",1,2023-07-28,"26.02","118.2","11260","49.33","27.4","7274","4512","11230","897.7","273400","7882","5589","123.4","62.7","290.9","BDL","BDL","BDL","137.4","174.6","761.2","418.6","5156","110.1","87.57","78.96","1.244","22.63","410.3","15.57","7.046","41.31","38.79",-10
"7","14-16",1,2023-07-28,"27.42","138.7","12840","50.92","29.57","8945","5408","12940","945.2","315700","13620","6441","130.5","67.06","328.1","BDL","0.9747","BDL","143.3","182.6","827.6","998.9","4723","113.7","91.23","82.32","1.362","23.62","467.1","BDL","8.9","42.93","40.99",-14
"8","18-22",1,2023-07-28,"25.29","136","12500","47.45","26.67","9067","4349","11920","748.9","297000","10220","6069","118","60.85","314","BDL","0.8184","BDL","132.4","171","758.2","456.3","4298","109","84.04","76","1.298","21.72","439.4","15.07","7.937","39.59","37.46",-18
"9","0-2",109,2023-07-28,"25.63","137.7","35970","66.23","31.24","6623","4989","17640","2325","283900","6336","15010","163.8","75.8","420.5","BDL","9.694","BDL","186.4","196.2","747.7","740.1","3987","109.4","85.78","77.53","1.461","23.28","591.3","35","13.37","42.37","38.57",0
"10","2-4",109,2023-07-28,"26.97","162.8","37120","51.5","31.92","6534","4839","17770","2187","281000","6795","15080","168.4","77.19","405.7","BDL","11.92","BDL","181.5","199.9","775","679.1","4357","110.8","89.83","80.65","1.624","24.28","606.6","35.48","13.91","44.58","40.22",-2
"11","4-6",109,2023-07-28,"27.1","156.5","39930","58.86","33.02","6641","5565","18960","2490","284700","7031","17540","177.4","81.61","449.3","BDL","14.05","1.034","196.8","205.7","783.2","771","6101","113.2","90.12","80.89","1.696","24.31","631","38.8","14.68","44.67","40.39",-4
"12","6-8",109,2023-07-28,"26.08","167.8","41250","58.05","31.3","6872","6176","17970","2260","281200","8831","15940","168.1","76.54","420.4","BDL","11.59","BDL","182.7","203.4","762.9","698.4","5927","111.4","86.87","78.33","1.548","24.04","635.3","40.74","13.4","44.74","39.07",-6
"13","8-10",109,2023-07-28,"26.48","168.3","37520","56.75","31.1","7112","4996","17340","2292","289500","7103","14390","164.4","75.33","413.6","BDL","9.982","BDL","175.1","192.7","770.5","673.4","5244","112.1","87.51","79.24","1.528","23.61","623.3","37.09","12.69","44.16","39.62",-8
"14","10-12",109,2023-07-28,"26.83","163.6","39870","58.24","32.63","7518","5477","19110","2428","313100","7837","16510","172.3","77.67","432.1","BDL","11.7","1.642","187.2","197.8","780.5","726.1","6567","113.7","88.84","79.92","1.544","23.96","650.5","38.2","13.88","44.43","40.1",-10
"15","12-14",109,2023-07-28,"26.76","156.3","35040","56.82","30.97","6533","4829","16830","2111","277200","5965","13940","164.8","76.17","396.4","BDL","10.18","BDL","182.3","196.3","769.4","692.4","5125","115.6","89.53","80.17","1.492","23.83","596.9","35.37","12.49","44.43","40.16",-12
"16","14-16",109,2023-07-28,"25.83","151.4","38380","53.39","30.51","7080","5347","17480","2238","286400","7872","14030","161.5","74.3","369.6","BDL","9.487","BDL","184.8","197.1","760.6","691.3","4809","109.4","86.35","77.36","1.555","23.57","634.7","37.36","12.57","43.26","39.01",-14
"17","18-22",109,2023-07-28,"26.69","148.2","34190","54.07","30.93","6672","4258","16740","2092","283700","5428","13400","163.3","75.44","356","BDL","8.227","BDL","178.8","193.5","769.7","676.6","4725","112.8","88.4","80.22","1.493","23.69","609.1","34.19","12.52","43.68","40.5",-18
"18","0-2",125,2023-07-28,"25.97","192.3","10660","52.65","25.4","3725","7293","9076","1024","125400","84770","9301","137.8","66.69","601.8","BDL","7.362","BDL","172.7","169.7","920.9","1135","13920","113.8","88.84","80.37","1.557","22.92","446.9","18.55","6.445","42.67","44.26",0
"19","2-4",125,2023-07-28,"24.47","179.8","5166","50.03","24.41","3554","5200","9146","1096","122400","69640","9884","135.8","63.94","558.5","BDL","10.46","BDL","180","157.2","844.2","1113","17250","106.9","83.13","76.1","1.482","21.31","399.9","16.6","7.133","39.75","43.58",-2
"20","4-6",125,2023-07-28,"26","203.3","7274","55.51","26.27","4141","4230","10040","1068","137800","45960","10610","144.1","67.1","476.5","BDL","10.07","BDL","194.5","169.1","830.4","1090","19750","114.3","88.1","80.63","1.553","22.75","422.7","18.61","7.887","41.99","46.59",-4
"21","6-8",125,2023-07-28,"25.43","159.6","12580","54.22","24.74","3415","6820","8183","903.1","109800","24990","8492","134","64.25","346.5","BDL","6.197","BDL","182.2","166.5","758.6","842.1","17240","111.3","86.66","78.48","1.574","22.6","367.8","17.93","6.249","41.65","42.16",-6
