"pond_id","Region","sample_date","pH","Fe (mg/L)","SO4 (mg/L)","DOC (mg/L)","DOC (mg/L) (0.45 Filter)","Abs254nm (1.2 filter)","Abs254nm (0.45 filter)","SUVA","Bottle # (PCO2)","Whole Water THg (ng/L)","Whole Water MeHg (ng/L)","MeHg Std Err","%MeHg","CO2 (umol/L)","CH4 (umol/L)","DIC (mg/L)","DIC (mg/L) (0.45 Filter)","TDC (mg/L) (DIC+DOC)","ChlA","DataSource","water temp C","Conductivity_uS_cm","DO (%)","DO (mg/L)","Secchi (cm)","Secchi on the ground?","ORP","Air temp C","Cloud %","Vegetation","analyzing_date","Abs250nm (0.45 filter)","Abs280nm (0.45 filter)","Abs350nm (0.45 filter)","Abs365nm (0.45 filter)","Abs370nm (0.45 filter)","Abs250nm (1.2 filter)","280 nmAbs280nm (1.2 filter)","Abs350nm (1.2 filter)","Abs365nm (1.2 filter)","Abs370nm (1.2 filter)","Time","TRP MDL = .00567","SRP MDL =.00567","TDP MDL = .0041","TP MDL = 0.0041","NH3 MDL = .021","UREA MDL = .0202","NO3 MDL = .0073","TN MDL = .0447","SO4 MDL = 1.015","Alk MDL = 3.16","TDN MDL = 0.0447","Site","Replicate","Weight (g)","Height","Hg [ng]","Concentration (µg/kg)","Latitude","Longitude","CLASS","Other Observation","Comments"
"1","SDNWA","2006-07-01",9.36,NA,640.98,NA,58.12,NA,NA,0.095,NA,NA,0.425,0.283787373,NA,NA,NA,17,NA,60.11,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.090051039219,52.213064598347,5,NA,NA
"2","SDNWA","2006-07-01",7.95,NA,1208.47,NA,136.31,NA,NA,0.141,NA,NA,3.13,NA,NA,NA,NA,75.62,NA,122.7,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,NA,NA
"97/98","SDNWA","2006-07-01",7.74,NA,579.11,NA,49.02,NA,NA,0.179,NA,NA,1.072,0.861990269,NA,NA,NA,39.74,NA,64.33,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.078079,52.209151,NA,NA,NA
"109","SDNWA","2006-07-01",6.93,NA,2.89,NA,43.11,NA,NA,0.19,NA,NA,0.165,NA,NA,NA,NA,11.83,NA,69.95,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.08574700556,52.2087749369114,3,NA,NA
"118","SDNWA","2006-07-01",7.08,NA,0.79,NA,24.59,NA,NA,0.29,NA,NA,0.031,NA,NA,NA,NA,33.08,NA,55.33,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,NA,NA
"125N","SDNWA","2006-07-01",8.05,NA,721.94,NA,31.02,NA,NA,0.271,NA,NA,1.177,0.903146806,NA,NA,NA,68.75,NA,99.77,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.081397622224,52.2132888358579,3,NA,NA
"1","SDNWA","2006-09-01",9.43,NA,814.18,NA,22.25,NA,NA,0.224,NA,NA,0.143,0.140907449,NA,NA,NA,72.69,NA,209,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.090051039219,52.213064598347,5,NA,NA
"2","SDNWA","2006-09-01",8.12,NA,1482.98,NA,96,NA,NA,0.26,NA,NA,0.487,NA,NA,NA,NA,145.6,NA,241.6,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,NA,NA
"97/98","SDNWA","2006-09-01",8.23,NA,761.8,NA,43,NA,NA,0.209,NA,NA,0.652,0.210028823,NA,NA,NA,77.2,NA,120.2,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.078079,52.209151,NA,NA,NA
"125N","SDNWA","2006-09-01",8.49,NA,884.74,NA,47.08,NA,NA,0.194,NA,NA,0.629,0.273840471,NA,NA,NA,46.28,NA,95.3,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.081397622224,52.2132888358579,3,NA,NA
"2","SDNWA","2007-05-07",7.96,NA,985.85,NA,40.260204,NA,NA,2.74439742,NA,3.52,1.108,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,NA,NA
"118","SDNWA","2007-05-07",7.55,NA,2.4,NA,14.474306,NA,NA,3.986650552,NA,3.24,0.168,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,NA,NA
"2","SDNWA","2008-05-12",8.22,NA,1211.41,NA,42.63,NA,NA,3.018,NA,1.54,0.3,NA,19.45036753,141.72,0.44,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,NA,NA
"109","SDNWA","2008-05-12",6.59,NA,51.06,NA,15.77,NA,NA,2.72,NA,2.05,0.584,NA,28.55463067,159.9,0.97,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.08574700556,52.2087749369114,3,NA,NA
"118","SDNWA","2008-05-13",7.12,NA,4.6,NA,21.02,NA,NA,4.657,NA,4.41,0.29,NA,6.584239754,283.86,24.83,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,NA,NA
