"","Pond","Site","Analyzing_date","Date","THg_ug.kg"
"1","118","Off",2023-07-27,2021-06-06,69.4245
"2","118","0",2023-07-27,2021-06-06,58.49
"3","118","-2",2023-07-27,2021-06-06,37.429
"4","118","-4",2023-07-27,2021-06-06,46.4206
"5","6","Off",2023-07-27,2021-06-06,64.384
"6","6","0",2023-07-27,2021-06-06,45.1695
"7","6","-2",2023-07-27,2021-06-06,42.5149
"8","6","-4",2023-07-27,2021-06-06,70.8087
"9","109","Off",2023-07-27,2021-06-06,135.6915
"10","109","0",2023-07-27,2021-06-06,47.8808
"11","109","-2",2023-07-27,2021-06-06,42.3116
"12","109","-4",2023-07-27,2021-06-06,36.5646
"13","125","Off",2023-07-27,2021-06-06,17.3985
"14","125","0",2023-07-27,2021-06-06,14.5857
"15","125","-2",2023-07-27,2021-06-06,13.3425
"16","125","-4",2023-07-27,2021-06-06,11.6674
"17","124","Off",2023-07-27,2021-06-06,66.7759
"18","124","0",2023-07-27,2021-06-06,62.7518
"19","124","-2",2023-07-27,2021-06-06,54.4677
"20","124","-4",2023-07-27,2021-06-06,48.1766
"21","2","Off",2023-07-27,2021-06-06,80.92
"22","2","0",2023-07-27,2021-06-06,57.4152
"23","2","-2",2023-07-27,2021-06-06,75.6679
"24","2","-4",2023-07-27,2021-06-06,77.7521
"25","15","Off",2023-07-28,2021-06-06,61.0239
"26","15","0",2023-07-28,2021-06-06,33.7546
"27","15","-2",2023-07-28,2021-06-06,19.0279
"28","15","-4",2023-07-28,2021-06-06,23.239
"29","37","Off",2023-07-28,2021-06-06,80.06805
"30","37","0",2023-07-28,2021-06-06,77.8615
"31","37","-2",2023-07-28,2021-06-06,69.9608
"32","37","-4",2023-07-28,2021-06-06,63.3605
"33","25","Off",2023-07-28,2021-06-06,67.48225
"34","25","0",2023-07-28,2021-06-06,51.6046
"35","25","-2",2023-07-28,2021-06-06,56.7728
"36","25","-4",2023-07-28,2021-06-06,54.6861
"37","35","Off",2023-07-28,2021-06-06,57.6579
"38","35","0",2023-07-28,2021-06-06,71.0023
"39","35","-2",2023-07-28,2021-06-06,53.5805
"40","35","-4",2023-07-28,2021-06-06,52.2455
"41","97/98","Off",2023-07-28,2021-06-06,43.586
"42","97/98","0",2023-07-28,2021-06-06,39.7307
"43","97/98","-2",2023-07-28,2021-06-06,48.2376
"44","97/98","-4",2023-07-28,2021-06-06,32.5082
"45","124","Off",2023-08-01,2021-06-23,55.4199333333333
"46","124","0",2023-08-01,2021-06-23,123.5861
"47","124","-2",2023-08-01,2021-06-23,58.5745
"48","124","-4",2023-08-01,2021-06-23,50.0093
"49","25","Off",2023-08-01,2021-06-23,147.7891
"50","25","0",2023-08-01,2021-06-23,124.5122
"51","25","-2",2023-08-01,2021-06-23,74.3322
"52","25","-4",2023-08-01,2021-06-23,45.2307
"53","97/98","Off",2023-08-01,2021-06-23,118.4309
"54","97/98","0",2023-08-01,2021-06-23,58.6165
"55","97/98","-2",2023-08-01,2021-06-23,52.2517
"56","97/98","-4",2023-08-01,2021-06-23,53.52
"57","109","Off",2023-08-03,2021-06-23,63.0405666666667
"58","109","0",2023-08-03,2021-06-23,109.5236
"59","109","-2",2023-08-03,2021-06-23,128.5114
"60","109","-4",2023-08-03,2021-06-23,98.3378
"61","37","Off",2023-08-03,2021-06-23,146.1929
"62","37","0",2023-08-03,2021-06-23,123.0248
"63","37","-2",2023-08-03,2021-06-23,142.886
"64","37","-4",2023-08-03,2021-06-23,102.4784
"65","6","Off",2023-08-03,2021-06-23,50.9804
"66","6","0",2023-08-03,2021-06-23,40.9402
"67","6","-2",2023-08-03,2021-06-23,68.3778
"68","6","-4",2023-08-03,2021-06-23,79.5996
"69","35","Off",2023-08-04,2021-05-23,48.4377333333333
"70","35","0",2023-08-04,2021-05-23,67.9983
"71","35","-2",2023-08-04,2021-05-23,45.0638
"72","35","-4",2023-08-04,2021-05-23,50.0487
"73","35","Off",2023-08-04,2021-06-23,73.7977
"74","35","0",2023-08-04,2021-06-23,92.9885
"75","35","-2",2023-08-04,2021-06-23,36.8408
"76","35","-4",2023-08-04,2021-06-23,73.0651
"77","125","Off",2023-08-04,2021-06-23,19.6264333333333
"78","125","0",2023-08-04,2021-06-23,19.9289
"79","125","-2",2023-08-04,2021-06-23,21.3467
"80","125","-4",2023-08-04,2021-06-23,30.4077
"81","15","Off",2023-08-04,2021-06-23,75.1165
"82","15","0",2023-08-04,2021-06-23,65.3702
"83","15","-2",2023-08-04,2021-06-23,41.8878
"84","15","-4",2023-08-04,2021-06-23,23.9992
