"","Pond","Date","TIC_ppm","TOC_ppm"
"1","1",2021-05-19,77.88,35.98
"2","1",2021-06-06,79.72,37.41
"3","1",2021-06-22,73.91,41.27
"4","1",2021-07-06,66.47,34.95
"5","1",2021-07-22,73.93,43.52
"6","1",2021-08-04,59.85,36.65
"7","1",2021-08-18,66.54,47.44
"8","1",2021-09-01,81.21,47.94
"9","1",2021-09-19,83.3,49.37
"10","1",2022-05-10,54.53,27.89
"11","1",2022-05-24,67.34,34.37
"12","1",2022-06-08,72.03,38.17
"13","1",2022-06-21,68.75,38
"14","1",2022-07-06,71.7,39.95
"15","1",2022-07-19,68.28,43.12
"16","1",2022-08-03,70.575,43.365
"17","1",2022-08-16,69.83,44.12
"18","1",2022-08-29,70.93,46.13
"19","1",2022-09-12,73.17,49.34
"20","1",2023-05-17,57.285,38.98
"21","109",2021-06-07,60.55,20.87
"22","109",2021-06-23,60.35,30.24
"23","109",2021-07-06,48.31,37.25
"24","109",2021-07-22,62.82,48.78
"25","109",2022-05-10,29.41,11.1
"26","109",2022-05-24,38.7,13.02
"27","109",2022-06-09,54.69,19.05
"28","109",2022-06-21,60.15,21.36
"29","109",2022-07-06,75.37,26.08
"30","109",2022-07-19,79.3,28.14
"31","109",2022-08-03,80.51,30.005
"32","109",2022-08-16,77.55,31.08
"33","109",2022-08-29,68.38,33.49
"34","109",2023-05-17,58.465,33.37
"35","118",2021-05-23,82.72,38.9
"36","118",2021-06-07,84.16,37.23
"37","118",2022-05-10,26.09,18.86
"38","118",2022-05-24,29.81,22.92
"39","118",2022-06-09,70.39,33.55
"40","118",2022-06-21,57.66,38.59
"41","124",2021-05-19,109.37,90.6
"42","124",2021-06-07,110.38,102.67
"43","124",2021-06-23,57.71,134.37
"44","124",2021-07-06,63.74,140.53
"45","124",2022-05-10,28.99,38.52
"46","124",2022-05-24,41.38,41.51
"47","124",2022-06-08,57.68,83.11
"48","124",2022-06-21,65.11,69.37
"49","124",2022-07-06,98.44,93.94
"50","125",2021-05-19,87.84,65.45
"51","125",2021-06-06,83.29,68.66
"52","125",2021-06-22,86.72,73.25
"53","125",2021-07-06,78.9,67.83
"54","125",2021-07-22,77.09,75.33
"55","125",2021-08-04,71.76,81.73
"56","125",2021-08-18,72.25,107.54
"57","125",2021-09-01,81.4,103.4
"58","125",2021-09-19,86.91,109.46
"59","125",2022-05-10,45.47,47.01
"60","125",2022-05-24,54.73,50.73
"61","125",2022-06-08,65.11,61.25
"62","125",2022-06-21,62.27,63.7
"63","125",2022-07-06,65.99,69.49
"64","125",2022-07-19,65.23,77.16
"65","125",2022-08-03,67.835,82.75
"66","125",2022-08-16,75.13,94.74
"67","125",2022-08-29,73.92,93.67
"68","125",2022-09-12,75.55,110.84
"69","125",2023-05-17,73.415,93.53
"70","125S",2023-05-17,63.845,72.465
"71","140",2021-05-19,85.51,98.18
"72","140",2021-06-07,70.04,114.02
"73","140",2021-06-24,83.12,164.91
"74","15",2021-05-19,53.29,9.82
"75","15",2021-06-22,43.4,12.95
"76","15",2021-07-06,37.06,12.84
"77","15",2021-07-22,31.29,19.64
"78","15",2021-08-04,34.08,14.21
"79","15",2021-08-18,45.9,18.88
"80","15",2021-09-01,40.72,9.88
"81","15",2021-09-19,60.54,17.76
"82","15",2022-05-10,37.09,6.94
"83","15",2022-05-24,45.77,7.38
"84","15",2022-06-08,56.08,9.08
"85","15",2022-06-21,61.65,10.26
"86","15",2022-07-06,66.58,10.08
"87","15",2022-07-19,70.66,11.3
"88","15",2022-08-03,68.97,11.78
"89","15",2022-08-16,53.35,12.41
"90","15",2022-08-29,51.77,13.96
"91","15",2022-09-12,54.4,13.21
"92","15",2023-05-17,50.95,11.665
"93","2",2021-05-19,79.68,137.61
"94","2",2021-06-06,79.77,168.8
"95","2",2022-05-10,74.17,18.95
"96","2",2022-05-24,81.96,26.27
"97","2",2022-06-08,92.74,43.16
"98","2",2022-07-06,105.57,60.89
"99","25",2021-05-23,106.13,79.72
"100","25",2021-06-06,129.12,88.71
"101","25",2021-06-23,106.6,66.26
"102","25",2021-07-06,145.77,99.89
"103","25",2021-07-22,154.16,103.42
"104","25",2021-08-04,108.71,80.85
"105","25",2021-08-18,126.45,110.2
"106","25",2021-09-01,117.37,88.55
"107","25",2021-09-19,146.04,118.62
"108","35",2021-05-23,170.78,117.51
"109","35",2021-06-06,158.27,137.39
"110","35",2021-06-23,198.46,181.28
"111","35",2021-07-06,245.01,283.22
"112","35",2022-05-10,39.71,17.18
"113","35",2022-05-24,42.3,23.01
"114","35",2022-06-08,62.63,34.31
"115","35",2022-06-21,83.79,42.71
"116","35",2022-07-19,88.29,65.67
"117","35",2022-08-03,57.62,66.15
"118","35",2022-08-16,47.73,80.36
"119","35",2023-05-17,62.155,39.215
"120","37",2021-05-23,87.41,62.22
"121","37",2021-06-06,73.27,69.4
"122","37",2021-06-23,56.92,85.61
"123","37",2022-05-10,40.76,27.18
"124","37",2022-05-24,47.84,27.07
"125","37",2022-06-08,72.52,41.44
"126","37",2022-06-21,49.41,35.87
"127","37",2022-07-06,78.705,47.965
"128","37",2022-07-19,66.25,57.21
"129","37",2022-08-03,28.945,25.865
"130","37",2023-05-17,71.1,53.93
"131","6",2021-05-23,89.79,31.82
"132","6",2021-06-06,99.72,37.73
"133","6",2021-06-23,134.42,59.48
"134","6",2022-05-10,57.42,19.77
"135","6",2022-05-24,55.56,22.6
"136","6",2022-06-09,63.43,31.72
"137","6",2022-06-21,71.48,33.58
"138","70",2021-05-23,131.56,129.75
"139","70",2021-06-06,115.97,145.09
"140","70",2021-06-23,130.18,157.4
"141","97",2021-05-19,69.08,56.56
"142","97",2021-06-06,74.93,65.35
"143","97",2021-06-22,82.6,78.4
"144","97",2021-07-06,74.39,81.14
"145","97",2021-07-22,100.72,132.53
"146","97",2021-08-04,94.86,133.88
"147","97",2021-08-18,119.73,229.51
"148","97",2021-09-01,92.36,137.96
"149","97",2022-05-10,29.84,49.68
"150","97",2022-05-24,48.58,52.95
"151","97",2022-06-08,60.68,100.34
"152","97",2022-06-21,64.16,96.19
"153","97",2022-07-06,74.255,81.925
"154","97",2022-07-19,65.11,180.94
"155","97",2022-08-03,55.5,101.815
