,Pond,Date,Region,Analyzing_date,Filter,Comments,Bottle_PCO2,MeHg_std.err,Depth_m,CharacteristicID,ResultValue
1,1,2006-07-20,SDNWA,,,,,0.283787373,,250_nm,
2,1,2006-07-20,SDNWA,,,,,0.283787373,,254_nm,
3,1,2006-07-20,SDNWA,,,,,0.283787373,,280_nm,
4,1,2006-07-20,SDNWA,,,,,0.283787373,,350_nm,
5,1,2006-07-20,SDNWA,,,,,0.283787373,,365_nm,
6,1,2006-07-20,SDNWA,,,,,0.283787373,,370_nm,
7,1,2006-07-20,SDNWA,,,,,0.283787373,,pH,9.36
8,1,2006-07-20,SDNWA,,,,,0.283787373,,Fe_mg.L,
9,1,2006-07-20,SDNWA,,,,,0.283787373,,SO4_mg.L,640.98
10,1,2006-07-20,SDNWA,,,,,0.283787373,,DOC_mg.L,58.12
11,1,2006-07-20,SDNWA,,,,,0.283787373,,SUVA,0.52312457
12,1,2006-07-20,SDNWA,,,,,0.283787373,,Wholewater_THg_ng.L,0.390037015
13,1,2006-07-20,SDNWA,,,,,0.283787373,,Wholewater_MeHg_ng.L,0.424694822
14,1,2006-07-20,SDNWA,,,,,0.283787373,,MeHg_perc,108.8857739
15,1,2006-07-20,SDNWA,,,,,0.283787373,,CO2_umol.L,
16,1,2006-07-20,SDNWA,,,,,0.283787373,,CH4_umol.L,
17,1,2006-07-20,SDNWA,,,,,0.283787373,,DIC_mg.L,8.57103915
18,1,2006-07-20,SDNWA,,,,,0.283787373,,TDC_mg.L,65.03
19,1,2006-07-20,SDNWA,,,,,0.283787373,,Chla,
20,1,2006-07-20,SDNWA,,,,,0.283787373,,Temp_degC,22.03
21,1,2006-07-20,SDNWA,,,,,0.283787373,,Cond_uS.cm,1305
22,1,2006-07-20,SDNWA,,,,,0.283787373,,DO_perc,
23,1,2006-07-20,SDNWA,,,,,0.283787373,,DO_mg.L,8.91
24,1,2006-07-20,SDNWA,,,,,0.283787373,,Secchi_cm,
25,1,2006-07-20,SDNWA,,,,,0.283787373,,ORP,
26,1,2006-07-20,SDNWA,,,,,0.283787373,,Airtemp_C,
27,1,2006-07-20,SDNWA,,,,,0.283787373,,Cloud,
8290,2,2006-07-20,SDNWA,,,,,,,250_nm,
8291,2,2006-07-20,SDNWA,,,,,,,254_nm,
8292,2,2006-07-20,SDNWA,,,,,,,280_nm,
8293,2,2006-07-20,SDNWA,,,,,,,350_nm,
8294,2,2006-07-20,SDNWA,,,,,,,365_nm,
8295,2,2006-07-20,SDNWA,,,,,,,370_nm,
8296,2,2006-07-20,SDNWA,,,,,,,pH,7.95
8297,2,2006-07-20,SDNWA,,,,,,,Fe_mg.L,
8298,2,2006-07-20,SDNWA,,,,,,,SO4_mg.L,1208.473
8299,2,2006-07-20,SDNWA,,,,,,,DOC_mg.L,136.31
8300,2,2006-07-20,SDNWA,,,,,,,SUVA,0.774220527
8301,2,2006-07-20,SDNWA,,,,,,,Wholewater_THg_ng.L,4.118
8302,2,2006-07-20,SDNWA,,,,,,,Wholewater_MeHg_ng.L,3.130249428
8303,2,2006-07-20,SDNWA,,,,,,,MeHg_perc,76.01382778
8304,2,2006-07-20,SDNWA,,,,,,,CO2_umol.L,
8305,2,2006-07-20,SDNWA,,,,,,,CH4_umol.L,
8306,2,2006-07-20,SDNWA,,,,,,,DIC_mg.L,38.24650345
8307,2,2006-07-20,SDNWA,,,,,,,TDC_mg.L,165.85
8308,2,2006-07-20,SDNWA,,,,,,,Chla,
8309,2,2006-07-20,SDNWA,,,,,,,Temp_degC,21.02
8310,2,2006-07-20,SDNWA,,,,,,,Cond_uS.cm,2841
8311,2,2006-07-20,SDNWA,,,,,,,DO_perc,
8312,2,2006-07-20,SDNWA,,,,,,,DO_mg.L,1.31
8313,2,2006-07-20,SDNWA,,,,,,,Secchi_cm,
8314,2,2006-07-20,SDNWA,,,,,,,ORP,
8315,2,2006-07-20,SDNWA,,,,,,,Airtemp_C,
8316,2,2006-07-20,SDNWA,,,,,,,Cloud,
1648,100,2006-07-20,SDNWA,,,,,0.001503702,,250_nm,
1649,100,2006-07-20,SDNWA,,,,,0.001503702,,254_nm,
1650,100,2006-07-20,SDNWA,,,,,0.001503702,,280_nm,
1651,100,2006-07-20,SDNWA,,,,,0.001503702,,350_nm,
1652,100,2006-07-20,SDNWA,,,,,0.001503702,,365_nm,
1653,100,2006-07-20,SDNWA,,,,,0.001503702,,370_nm,
1654,100,2006-07-20,SDNWA,,,,,0.001503702,,pH,7.34
1655,100,2006-07-20,SDNWA,,,,,0.001503702,,Fe_mg.L,
1656,100,2006-07-20,SDNWA,,,,,0.001503702,,SO4_mg.L,7.975
1657,100,2006-07-20,SDNWA,,,,,0.001503702,,DOC_mg.L,60.2
1658,100,2006-07-20,SDNWA,,,,,0.001503702,,SUVA,1.979069767
1659,100,2006-07-20,SDNWA,,,,,0.001503702,,Wholewater_THg_ng.L,0.749848837
1660,100,2006-07-20,SDNWA,,,,,0.001503702,,Wholewater_MeHg_ng.L,0.032381711
1661,100,2006-07-20,SDNWA,,,,,0.001503702,,MeHg_perc,4.318431832
1662,100,2006-07-20,SDNWA,,,,,0.001503702,,CO2_umol.L,
1663,100,2006-07-20,SDNWA,,,,,0.001503702,,CH4_umol.L,
1664,100,2006-07-20,SDNWA,,,,,0.001503702,,DIC_mg.L,0.3207871
1665,100,2006-07-20,SDNWA,,,,,0.001503702,,TDC_mg.L,86.91
1666,100,2006-07-20,SDNWA,,,,,0.001503702,,Chla,
1667,100,2006-07-20,SDNWA,,,,,0.001503702,,Temp_degC,20.23
1668,100,2006-07-20,SDNWA,,,,,0.001503702,,Cond_uS.cm,501
1669,100,2006-07-20,SDNWA,,,,,0.001503702,,DO_perc,
1670,100,2006-07-20,SDNWA,,,,,0.001503702,,DO_mg.L,3
1671,100,2006-07-20,SDNWA,,,,,0.001503702,,Secchi_cm,
1672,100,2006-07-20,SDNWA,,,,,0.001503702,,ORP,
1673,100,2006-07-20,SDNWA,,,,,0.001503702,,Airtemp_C,
1674,100,2006-07-20,SDNWA,,,,,0.001503702,,Cloud,
6940,130,2006-07-20,SDNWA,,,,,0.025944965,,250_nm,
6941,130,2006-07-20,SDNWA,,,,,0.025944965,,254_nm,
6942,130,2006-07-20,SDNWA,,,,,0.025944965,,280_nm,
6943,130,2006-07-20,SDNWA,,,,,0.025944965,,350_nm,
6944,130,2006-07-20,SDNWA,,,,,0.025944965,,365_nm,
6945,130,2006-07-20,SDNWA,,,,,0.025944965,,370_nm,
6946,130,2006-07-20,SDNWA,,,,,0.025944965,,pH,7.65
6947,130,2006-07-20,SDNWA,,,,,0.025944965,,Fe_mg.L,
6948,130,2006-07-20,SDNWA,,,,,0.025944965,,SO4_mg.L,4.22
6949,130,2006-07-20,SDNWA,,,,,0.025944965,,DOC_mg.L,138.74
6950,130,2006-07-20,SDNWA,,,,,0.025944965,,SUVA,2.181778867
6951,130,2006-07-20,SDNWA,,,,,0.025944965,,Wholewater_THg_ng.L,5.204581475
6952,130,2006-07-20,SDNWA,,,,,0.025944965,,Wholewater_MeHg_ng.L,0.883712707
6953,130,2006-07-20,SDNWA,,,,,0.025944965,,MeHg_perc,16.97951529
6954,130,2006-07-20,SDNWA,,,,,0.025944965,,CO2_umol.L,
6955,130,2006-07-20,SDNWA,,,,,0.025944965,,CH4_umol.L,
6956,130,2006-07-20,SDNWA,,,,,0.025944965,,DIC_mg.L,0.3153826
6957,130,2006-07-20,SDNWA,,,,,0.025944965,,TDC_mg.L,165
6958,130,2006-07-20,SDNWA,,,,,0.025944965,,Chla,
6959,130,2006-07-20,SDNWA,,,,,0.025944965,,Temp_degC,21.69
6960,130,2006-07-20,SDNWA,,,,,0.025944965,,Cond_uS.cm,789
6961,130,2006-07-20,SDNWA,,,,,0.025944965,,DO_perc,
6962,130,2006-07-20,SDNWA,,,,,0.025944965,,DO_mg.L,18.34
6963,130,2006-07-20,SDNWA,,,,,0.025944965,,Secchi_cm,
6964,130,2006-07-20,SDNWA,,,,,0.025944965,,ORP,
6965,130,2006-07-20,SDNWA,,,,,0.025944965,,Airtemp_C,
6966,130,2006-07-20,SDNWA,,,,,0.025944965,,Cloud,
6265,125N,2006-07-20,SDNWA,,,,,0.463176099,,250_nm,
6266,125N,2006-07-20,SDNWA,,,,,0.463176099,,254_nm,
6267,125N,2006-07-20,SDNWA,,,,,0.463176099,,280_nm,
6268,125N,2006-07-20,SDNWA,,,,,0.463176099,,350_nm,
6269,125N,2006-07-20,SDNWA,,,,,0.463176099,,365_nm,
6270,125N,2006-07-20,SDNWA,,,,,0.463176099,,370_nm,
6271,125N,2006-07-20,SDNWA,,,,,0.463176099,,pH,8.05
6272,125N,2006-07-20,SDNWA,,,,,0.463176099,,Fe_mg.L,
6273,125N,2006-07-20,SDNWA,,,,,0.463176099,,SO4_mg.L,721.938
6274,125N,2006-07-20,SDNWA,,,,,0.463176099,,DOC_mg.L,31.02
6275,125N,2006-07-20,SDNWA,,,,,0.463176099,,SUVA,1.493067376
6276,125N,2006-07-20,SDNWA,,,,,0.463176099,,Wholewater_THg_ng.L,3.250734029
6277,125N,2006-07-20,SDNWA,,,,,0.463176099,,Wholewater_MeHg_ng.L,1.176987277
6278,125N,2006-07-20,SDNWA,,,,,0.463176099,,MeHg_perc,36.20681565
6279,125N,2006-07-20,SDNWA,,,,,0.463176099,,CO2_umol.L,
6280,125N,2006-07-20,SDNWA,,,,,0.463176099,,CH4_umol.L,
6281,125N,2006-07-20,SDNWA,,,,,0.463176099,,DIC_mg.L,34.78784375
6282,125N,2006-07-20,SDNWA,,,,,0.463176099,,TDC_mg.L,99.77
6283,125N,2006-07-20,SDNWA,,,,,0.463176099,,Chla,
6284,125N,2006-07-20,SDNWA,,,,,0.463176099,,Temp_degC,23.72
6285,125N,2006-07-20,SDNWA,,,,,0.463176099,,Cond_uS.cm,1728
6286,125N,2006-07-20,SDNWA,,,,,0.463176099,,DO_perc,
6287,125N,2006-07-20,SDNWA,,,,,0.463176099,,DO_mg.L,4.48
6288,125N,2006-07-20,SDNWA,,,,,0.463176099,,Secchi_cm,
6289,125N,2006-07-20,SDNWA,,,,,0.463176099,,ORP,
6290,125N,2006-07-20,SDNWA,,,,,0.463176099,,Airtemp_C,
6291,125N,2006-07-20,SDNWA,,,,,0.463176099,,Cloud,
12691,97/98,2006-07-20,SDNWA,,,,,0.861990269,,250_nm,
12692,97/98,2006-07-20,SDNWA,,,,,0.861990269,,254_nm,
12693,97/98,2006-07-20,SDNWA,,,,,0.861990269,,280_nm,
12694,97/98,2006-07-20,SDNWA,,,,,0.861990269,,350_nm,
12695,97/98,2006-07-20,SDNWA,,,,,0.861990269,,365_nm,
12696,97/98,2006-07-20,SDNWA,,,,,0.861990269,,370_nm,
12697,97/98,2006-07-20,SDNWA,,,,,0.861990269,,pH,7.74
12698,97/98,2006-07-20,SDNWA,,,,,0.861990269,,Fe_mg.L,
12699,97/98,2006-07-20,SDNWA,,,,,0.861990269,,SO4_mg.L,579.106
12700,97/98,2006-07-20,SDNWA,,,,,0.861990269,,DOC_mg.L,49.02
12701,97/98,2006-07-20,SDNWA,,,,,0.861990269,,SUVA,0.986039372
12702,97/98,2006-07-20,SDNWA,,,,,0.861990269,,Wholewater_THg_ng.L,2.579143954
12703,97/98,2006-07-20,SDNWA,,,,,0.861990269,,Wholewater_MeHg_ng.L,1.072019093
12704,97/98,2006-07-20,SDNWA,,,,,0.861990269,,MeHg_perc,41.5649189
12705,97/98,2006-07-20,SDNWA,,,,,0.861990269,,CO2_umol.L,
12706,97/98,2006-07-20,SDNWA,,,,,0.861990269,,CH4_umol.L,
12707,97/98,2006-07-20,SDNWA,,,,,0.861990269,,DIC_mg.L,20.1479114
