"","Pond","Region","Date","Depth_m","CharacteristicID","ResultValue"
"1","1","SDNWA",2023-09-19,NA,"Temp_degC",14.7
"2","1","SDNWA",2023-09-19,NA,"Cond_uS.cm",5761
"3","1","SDNWA",2023-09-19,NA,"DO_perc",70
"4","1","SDNWA",2023-09-19,NA,"DO_mg.L",6.92
"5","15","SDNWA",2023-09-19,NA,"Temp_degC",12.7
"6","15","SDNWA",2023-09-19,NA,"Cond_uS.cm",389.3
"7","15","SDNWA",2023-09-19,NA,"DO_perc",69.3
"8","15","SDNWA",2023-09-19,NA,"DO_mg.L",7.32
"9","35","SDNWA",2024-04-25,NA,"Temp_degC",13.3
"10","35","SDNWA",2024-04-25,NA,"Cond_uS.cm",196.8
"11","35","SDNWA",2024-04-25,NA,"DO_perc",116.8
"12","35","SDNWA",2024-04-25,NA,"DO_mg.L",12.19
"13","37","SDNWA",2024-04-25,NA,"Temp_degC",11.9
"14","37","SDNWA",2024-04-25,NA,"Cond_uS.cm",164.1
"15","37","SDNWA",2024-04-25,NA,"DO_perc",44.4
"16","37","SDNWA",2024-04-25,NA,"DO_mg.L",4.81
"17","118","SDNWA",2024-04-25,NA,"Temp_degC",11.9
"18","118","SDNWA",2024-04-25,NA,"Cond_uS.cm",164.4
"19","118","SDNWA",2024-04-25,NA,"DO_perc",44.4
"20","118","SDNWA",2024-04-25,NA,"DO_mg.L",4.81
"21","97/98","SDNWA",2024-04-25,NA,"Temp_degC",20.1
"22","97/98","SDNWA",2024-04-25,NA,"Cond_uS.cm",2465
"23","97/98","SDNWA",2024-04-25,NA,"DO_perc",86.6
"24","97/98","SDNWA",2024-04-25,NA,"DO_mg.L",7.8
"25","125","SDNWA",2024-04-25,NA,"Temp_degC",13.4
"26","125","SDNWA",2024-04-25,NA,"Cond_uS.cm",1878
"27","125","SDNWA",2024-04-25,NA,"DO_perc",126.4
"28","125","SDNWA",2024-04-25,NA,"DO_mg.L",12.6
"29","125N","SDNWA",2024-04-25,NA,"Temp_degC",14.5
"30","125N","SDNWA",2024-04-25,NA,"Cond_uS.cm",1341
"31","125N","SDNWA",2024-04-25,NA,"DO_perc",99.5
"32","125N","SDNWA",2024-04-25,NA,"DO_mg.L",9.98
"33","140","SDNWA",2024-04-25,NA,"Temp_degC",12.3
"34","140","SDNWA",2024-04-25,NA,"Cond_uS.cm",303
"35","140","SDNWA",2024-04-25,NA,"DO_perc",124.9
"36","140","SDNWA",2024-04-25,NA,"DO_mg.L",13.19
"37","2","SDNWA",2024-04-25,NA,"Temp_degC",13.5
"38","2","SDNWA",2024-04-25,NA,"Cond_uS.cm",392.2
"39","2","SDNWA",2024-04-25,NA,"DO_perc",51.5
"40","2","SDNWA",2024-04-25,NA,"DO_mg.L",5.36
"41","1","SDNWA",2024-04-25,NA,"Temp_degC",11.7
"42","1","SDNWA",2024-04-25,NA,"Cond_uS.cm",3414
