"","Depth_cm","Pond","Date","Depth_cm_sum","CharacteristicID","ResultValue"
"1","12-14",1,2023-07-28,-12,"Be_ppm","BDL"
"2","12-14",1,2023-07-28,-12,"B_ppm","BDL"
"3","12-14",1,2023-07-28,-12,"Al_ppm","BDL"
"4","12-14",1,2023-07-28,-12,"Li_ppm","BDL"
"5","12-14",1,2023-07-28,-12,"Ga_ppm","BDL"
"6","12-14",1,2023-07-28,-12,"Na_ppm","BDL"
"7","12-14",1,2023-07-28,-12,"Mg_ppm","BDL"
"8","12-14",1,2023-07-28,-12,"K_ppm","BDL"
"9","12-14",1,2023-07-28,-12,"Ti_ppm","BDL"
"10","12-14",1,2023-07-28,-12,"Si_ppm","BDL"
"11","12-14",1,2023-07-28,-12,"Ca_ppm","BDL"
"12","12-14",1,2023-07-28,-12,"Fe_ppm","BDL"
"13","12-14",1,2023-07-28,-12,"V_ppm","BDL"
"14","12-14",1,2023-07-28,-12,"Cr_ppm","BDL"
"15","12-14",1,2023-07-28,-12,"Mn_ppm","BDL"
"16","12-14",1,2023-07-28,-12,"Co_ppm","BDL"
"17","12-14",1,2023-07-28,-12,"Ni_ppm","BDL"
"18","12-14",1,2023-07-28,-12,"Cu_ppm","BDL"
"19","12-14",1,2023-07-28,-12,"Zn_ppm","BDL"
"20","12-14",1,2023-07-28,-12,"Rb_ppm","BDL"
"21","12-14",1,2023-07-28,-12,"Sr_ppm","BDL"
"22","12-14",1,2023-07-28,-12,"P_ppm","BDL"
"23","12-14",1,2023-07-28,-12,"S_ppm","BDL"
"24","12-14",1,2023-07-28,-12,"As_ppm","BDL"
"25","12-14",1,2023-07-28,-12,"Se_ppm","BDL"
"26","12-14",1,2023-07-28,-12,"Mo_ppm","BDL"
"27","12-14",1,2023-07-28,-12,"Cd_ppm","BDL"
"28","12-14",1,2023-07-28,-12,"Cs_ppm","BDL"
"29","12-14",1,2023-07-28,-12,"Ba_ppm","BDL"
"30","12-14",1,2023-07-28,-12,"Ce_ppm","BDL"
"31","12-14",1,2023-07-28,-12,"Pb_ppm","BDL"
"32","12-14",1,2023-07-28,-12,"Th_ppm","BDL"
"33","12-14",1,2023-07-28,-12,"U_ppm","BDL"
"34","22-26",1,2023-07-28,-22,"Be_ppm","25.63"
"35","22-26",1,2023-07-28,-22,"B_ppm","BDL"
"36","22-26",1,2023-07-28,-22,"Al_ppm","BDL"
"37","22-26",1,2023-07-28,-22,"Li_ppm","BDL"
"38","22-26",1,2023-07-28,-22,"Ga_ppm","BDL"
"39","22-26",1,2023-07-28,-22,"Na_ppm","BDL"
"40","22-26",1,2023-07-28,-22,"Mg_ppm","BDL"
"41","22-26",1,2023-07-28,-22,"K_ppm","BDL"
"42","22-26",1,2023-07-28,-22,"Ti_ppm","BDL"
"43","22-26",1,2023-07-28,-22,"Si_ppm","BDL"
"44","22-26",1,2023-07-28,-22,"Ca_ppm","BDL"
"45","22-26",1,2023-07-28,-22,"Fe_ppm","BDL"
"46","22-26",1,2023-07-28,-22,"V_ppm","BDL"
"47","22-26",1,2023-07-28,-22,"Cr_ppm","BDL"
"48","22-26",1,2023-07-28,-22,"Mn_ppm","BDL"
"49","22-26",1,2023-07-28,-22,"Co_ppm","BDL"
"50","22-26",1,2023-07-28,-22,"Ni_ppm","BDL"
"51","22-26",1,2023-07-28,-22,"Cu_ppm","BDL"
"52","22-26",1,2023-07-28,-22,"Zn_ppm","BDL"
"53","22-26",1,2023-07-28,-22,"Rb_ppm","BDL"
"54","22-26",1,2023-07-28,-22,"Sr_ppm","BDL"
"55","22-26",1,2023-07-28,-22,"P_ppm","BDL"
"56","22-26",1,2023-07-28,-22,"S_ppm","BDL"
"57","22-26",1,2023-07-28,-22,"As_ppm","BDL"
"58","22-26",1,2023-07-28,-22,"Se_ppm","BDL"
"59","22-26",1,2023-07-28,-22,"Mo_ppm","BDL"
"60","22-26",1,2023-07-28,-22,"Cd_ppm","BDL"
"61","22-26",1,2023-07-28,-22,"Cs_ppm","BDL"
"62","22-26",1,2023-07-28,-22,"Ba_ppm","BDL"
"63","22-26",1,2023-07-28,-22,"Ce_ppm","BDL"
"64","22-26",1,2023-07-28,-22,"Pb_ppm","BDL"
"65","22-26",1,2023-07-28,-22,"Th_ppm","BDL"
"66","22-26",1,2023-07-28,-22,"U_ppm","BDL"
"67","22-26",109,2023-07-28,-22,"Be_ppm","BDL"
"68","22-26",109,2023-07-28,-22,"B_ppm","BDL"
"69","22-26",109,2023-07-28,-22,"Al_ppm","BDL"
"70","22-26",109,2023-07-28,-22,"Li_ppm","BDL"
"71","22-26",109,2023-07-28,-22,"Ga_ppm","BDL"
"72","22-26",109,2023-07-28,-22,"Na_ppm","BDL"
"73","22-26",109,2023-07-28,-22,"Mg_ppm","BDL"
"74","22-26",109,2023-07-28,-22,"K_ppm","BDL"
"75","22-26",109,2023-07-28,-22,"Ti_ppm","BDL"
"76","22-26",109,2023-07-28,-22,"Si_ppm","BDL"
"77","22-26",109,2023-07-28,-22,"Ca_ppm","BDL"
"78","22-26",109,2023-07-28,-22,"Fe_ppm","BDL"
"79","22-26",109,2023-07-28,-22,"V_ppm","BDL"
"80","22-26",109,2023-07-28,-22,"Cr_ppm","BDL"
"81","22-26",109,2023-07-28,-22,"Mn_ppm","BDL"
"82","22-26",109,2023-07-28,-22,"Co_ppm","BDL"
"83","22-26",109,2023-07-28,-22,"Ni_ppm","BDL"
"84","22-26",109,2023-07-28,-22,"Cu_ppm","BDL"
"85","22-26",109,2023-07-28,-22,"Zn_ppm","BDL"
"86","22-26",109,2023-07-28,-22,"Rb_ppm","BDL"
"87","22-26",109,2023-07-28,-22,"Sr_ppm","BDL"
"88","22-26",109,2023-07-28,-22,"P_ppm","BDL"
"89","22-26",109,2023-07-28,-22,"S_ppm","BDL"
"90","22-26",109,2023-07-28,-22,"As_ppm","BDL"
"91","22-26",109,2023-07-28,-22,"Se_ppm","BDL"
