"","Pond","Analyzing_date","Date","THg_ug.kg"
"1","118",2023-07-27,2021-06-06,69.4245
"2","118",2023-07-27,2021-06-06,58.49
"3","118",2023-07-27,2021-06-06,37.429
"4","118",2023-07-27,2021-06-06,46.4206
"5","6",2023-07-27,2021-06-06,64.384
"6","6",2023-07-27,2021-06-06,45.1695
"7","6",2023-07-27,2021-06-06,42.5149
"8","6",2023-07-27,2021-06-06,70.8087
"9","109",2023-07-27,2021-06-06,135.6915
"10","109",2023-07-27,2021-06-06,47.8808
"11","109",2023-07-27,2021-06-06,42.3116
"12","109",2023-07-27,2021-06-06,36.5646
"13","125",2023-07-27,2021-06-06,17.3985
"14","125",2023-07-27,2021-06-06,14.5857
"15","125",2023-07-27,2021-06-06,13.3425
"16","125",2023-07-27,2021-06-06,11.6674
"17","124",2023-07-27,2021-06-06,66.7759
"18","124",2023-07-27,2021-06-06,62.7518
"19","124",2023-07-27,2021-06-06,54.4677
"20","124",2023-07-27,2021-06-06,48.1766
"21","2",2023-07-27,2021-06-06,80.92
"22","2",2023-07-27,2021-06-06,57.4152
"23","2",2023-07-27,2021-06-06,75.6679
"24","2",2023-07-27,2021-06-06,77.7521
"25","15",2023-07-28,2021-06-06,58.6218
"26","15",2023-07-28,2021-06-06,63.426
"27","15",2023-07-28,2021-06-06,33.7546
"28","15",2023-07-28,2021-06-06,19.0279
"29","15",2023-07-28,2021-06-06,23.239
"30","37",2023-07-28,2021-06-06,86.3541
"31","37",2023-07-28,2021-06-06,73.782
"32","37",2023-07-28,2021-06-06,77.8615
"33","37",2023-07-28,2021-06-06,69.9608
"34","37",2023-07-28,2021-06-06,63.3605
"35","25",2023-07-28,2021-06-06,65.5552
"36","25",2023-07-28,2021-06-06,69.4093
"37","25",2023-07-28,2021-06-06,51.6046
"38","25",2023-07-28,2021-06-06,56.7728
"39","25",2023-07-28,2021-06-06,54.6861
"40","35",2023-07-28,2021-06-06,63.55
"41","35",2023-07-28,2021-06-06,51.7658
"42","35",2023-07-28,2021-06-06,71.0023
"43","35",2023-07-28,2021-06-06,53.5805
"44","35",2023-07-28,2021-06-06,52.2455
"45","97/98",2023-07-28,2021-06-06,44.4188
"46","97/98",2023-07-28,2021-06-06,42.7532
"47","97/98",2023-07-28,2021-06-06,39.7307
"48","97/98",2023-07-28,2021-06-06,48.2376
"49","97/98",2023-07-28,2021-06-06,32.5082
"50","124",2023-08-01,2021-06-23,54.1044
"51","124",2023-08-01,2021-06-23,56.969
"52","124",2023-08-01,2021-06-23,55.1864
"53","124",2023-08-01,2021-06-23,123.5861
"54","124",2023-08-01,2021-06-23,58.5745
"55","124",2023-08-01,2021-06-23,50.0093
"56","25",2023-08-01,2021-06-23,139.1352
"57","25",2023-08-01,2021-06-23,154.2155
"58","25",2023-08-01,2021-06-23,150.0166
"59","25",2023-08-01,2021-06-23,124.5122
"60","25",2023-08-01,2021-06-23,74.3322
"61","25",2023-08-01,2021-06-23,45.2307
"62","97/98",2023-08-01,2021-06-23,116.1391
"63","97/98",2023-08-01,2021-06-23,117.7399
"64","97/98",2023-08-01,2021-06-23,121.4137
"65","97/98",2023-08-01,2021-06-23,58.6165
"66","97/98",2023-08-01,2021-06-23,52.2517
"67","97/98",2023-08-01,2021-06-23,53.52
"68","109",2023-08-03,2021-06-23,63.6947
"69","109",2023-08-03,2021-06-23,58.7366
"70","109",2023-08-03,2021-06-23,66.6904
"71","109",2023-08-03,2021-06-23,109.5236
"72","109",2023-08-03,2021-06-23,128.5114
"73","109",2023-08-03,2021-06-23,98.3378
"74","37",2023-08-03,2021-06-23,146.1929
"75","37",2023-08-03,2021-06-23,153.9966
"76","37",2023-08-03,2021-06-23,154.048
