"","Sample","Pond","Date","CharacteristicID","ResultValue"
"1",202106037,"109",2021-06-07,"TIC_ppm",73.27
"2",202106037,"109",2021-06-07,"TOC_ppm",30.51
"3",202106031,"1",2021-06-06,"TIC_ppm",79.72
"4",202106031,"1",2021-06-06,"TOC_ppm",37.41
"5",202106016,"97",2021-06-06,"TIC_ppm",74.93
"6",202106016,"97",2021-06-06,"TOC_ppm",65.35
"7",202106013,"35",2021-06-06,"TIC_ppm",158.27
"8",202106013,"35",2021-06-06,"TOC_ppm",137.39
"9",202106025,"125",2021-06-06,"TIC_ppm",83.29
"10",202106025,"125",2021-06-06,"TOC_ppm",68.66
"11",202106022,"37",2021-06-06,"TIC_ppm",73.27
"12",202106022,"37",2021-06-06,"TOC_ppm",69.4
"13",202106010,"25",2021-06-06,"TIC_ppm",129.12
"14",202106010,"25",2021-06-06,"TOC_ppm",88.71
"15",202106004,"124",2021-06-07,"TIC_ppm",110.38
"16",202106004,"124",2021-06-07,"TOC_ppm",102.67
"17",202106040,"118",2021-06-07,"TIC_ppm",84.16
"18",202106040,"118",2021-06-07,"TOC_ppm",37.23
"19",202106019,"2",2021-06-06,"TIC_ppm",79.77
"20",202106019,"2",2021-06-06,"TOC_ppm",168.8
"21",202106037,"109",2021-06-07,"TIC_ppm",47.83
"22",202106037,"109",2021-06-07,"TOC_ppm",11.23
"23",202106028,"6",2021-06-06,"TIC_ppm",99.72
"24",202106028,"6",2021-06-06,"TOC_ppm",37.73
"25",202106001,"70",2021-06-06,"TIC_ppm",115.97
"26",202106001,"70",2021-06-06,"TOC_ppm",145.09
"27",202106007,"140",2021-06-07,"TIC_ppm",70.04
"28",202106007,"140",2021-06-07,"TOC_ppm",114.02
"29",202105014,"1",2021-05-19,"TIC_ppm",77.88
"30",202105014,"1",2021-05-19,"TOC_ppm",35.98
"31",202105001,"124",2021-05-19,"TIC_ppm",109.37
"32",202105001,"124",2021-05-19,"TOC_ppm",90.6
"33",202105017,"15",2021-05-19,"TIC_ppm",53.29
"34",202105017,"15",2021-05-19,"TOC_ppm",9.82
"35",202105020,"125",2021-05-19,"TIC_ppm",87.84
"36",202105020,"125",2021-05-19,"TOC_ppm",65.45
"37",202105023,"2",2021-05-19,"TIC_ppm",79.68
"38",202105023,"2",2021-05-19,"TOC_ppm",137.61
"39",202105026,"140",2021-05-19,"TIC_ppm",85.51
"40",202105026,"140",2021-05-19,"TOC_ppm",98.18
"41",202105029,"97",2021-05-19,"TIC_ppm",69.08
"42",202105029,"97",2021-05-19,"TOC_ppm",56.56
"43",202105032,"37",2021-05-23,"TIC_ppm",87.41
"44",202105032,"37",2021-05-23,"TOC_ppm",62.22
"45",202105035,"35",2021-05-23,"TIC_ppm",170.78
"46",202105035,"35",2021-05-23,"TOC_ppm",117.51
"47",202105038,"118",2021-05-23,"TIC_ppm",82.72
"48",202105038,"118",2021-05-23,"TOC_ppm",38.9
"49",202105053,"6",2021-05-23,"TIC_ppm",89.79
"50",202105053,"6",2021-05-23,"TOC_ppm",31.82
"51",202105062,"25",2021-05-23,"TIC_ppm",106.13
"52",202105062,"25",2021-05-23,"TOC_ppm",79.72
"53",202106065,"97",2021-06-22,"TIC_ppm",82.6
"54",202106065,"97",2021-06-22,"TOC_ppm",78.4
"55",202106068,"125",2021-06-22,"TIC_ppm",86.72
"56",202106068,"125",2021-06-22,"TOC_ppm",73.25
"57",202106071,"1",2021-06-22,"TIC_ppm",73.91
"58",202106071,"1",2021-06-22,"TOC_ppm",41.27
"59",202106074,"15",2021-06-22,"TIC_ppm",43.4
"60",202106074,"15",2021-06-22,"TOC_ppm",12.95
"61",202106077,"124",2021-06-23,"TIC_ppm",57.71
"62",202106077,"124",2021-06-23,"TOC_ppm",134.37
"63",202106084,"35",2021-06-23,"TIC_ppm",198.46
"64",202106084,"35",2021-06-23,"TOC_ppm",181.28
"65",202105059,"70",2021-05-23,"TIC_ppm",131.56
"66",202105059,"70",2021-05-23,"TOC_ppm",129.75
"67",202106080,"140",2021-06-24,"TIC_ppm",83.12
"68",202106080,"140",2021-06-24,"TOC_ppm",164.91
"69",202106086,"6",2021-06-23,"TIC_ppm",134.42
"70",202106086,"6",2021-06-23,"TOC_ppm",59.48
"71",202108027,"97",2021-08-18,"TIC_ppm",119.73
"72",202108027,"97",2021-08-18,"TOC_ppm",229.51
"73",202108030,"125",2021-08-18,"TIC_ppm",72.25
"74",202108030,"125",2021-08-18,"TOC_ppm",107.54
"75",202108033,"15",2021-08-18,"TIC_ppm",45.9
"76",202108033,"15",2021-08-18,"TOC_ppm",18.88
"77",202108036,"25",2021-08-18,"TIC_ppm",126.45
"78",202108036,"25",2021-08-18,"TOC_ppm",110.2
"79",202108024,"1",2021-08-18,"TIC_ppm",66.54
"80",202108024,"1",2021-08-18,"TOC_ppm",47.44
"81",202109030,"125",2021-09-19,"TIC_ppm",86.91
"82",202109030,"125",2021-09-19,"TOC_ppm",109.46
"83",202109024,"25",2021-09-19,"TIC_ppm",146.04
"84",202109024,"25",2021-09-19,"TOC_ppm",118.62
"85",202109027,"1",2021-09-19,"TIC_ppm",83.3
"86",202109027,"1",2021-09-19,"TOC_ppm",49.37
"87",202109033,"15",2021-09-19,"TIC_ppm",60.54
"88",202109033,"15",2021-09-19,"TOC_ppm",17.76
"89",202109014,"97",2021-09-01,"TIC_ppm",92.36
"90",202109014,"97",2021-09-01,"TOC_ppm",137.96
"91",202109010,"125",2021-09-01,"TIC_ppm",81.4
"92",202109010,"125",2021-09-01,"TOC_ppm",103.4
"93",202107040,"25",2021-07-22,"TIC_ppm",154.16
"94",202107040,"25",2021-07-22,"TOC_ppm",103.42
"95",202107043,"15",2021-07-22,"TIC_ppm",31.29
"96",202107043,"15",2021-07-22,"TOC_ppm",19.64
"97",202109008,"1",2021-09-01,"TIC_ppm",81.21
"98",202109008,"1",2021-09-01,"TOC_ppm",47.94
"99",202107046,"97",2021-07-22,"TIC_ppm",100.72
"100",202107046,"97",2021-07-22,"TOC_ppm",132.53
"101",202107055,"1",2021-07-22,"TIC_ppm",73.93
"102",202107055,"1",2021-07-22,"TOC_ppm",43.52
"103",202109002,"25",2021-09-01,"TIC_ppm",117.37
"104",202109002,"25",2021-09-01,"TOC_ppm",88.55
"105",202107004,"25",2021-07-06,"TIC_ppm",145.77
"106",202107004,"25",2021-07-06,"TOC_ppm",99.89
"107",202107019,"35",2021-07-06,"TIC_ppm",245.01
"108",202107019,"35",2021-07-06,"TOC_ppm",283.22
"109",202109004,"15",2021-09-01,"TIC_ppm",40.72
"110",202109004,"15",2021-09-01,"TOC_ppm",9.88
"111",202107013,"124",2021-07-06,"TIC_ppm",63.74
"112",202107013,"124",2021-07-06,"TOC_ppm",140.53
"113",202107016,"15",2021-07-06,"TIC_ppm",37.06
"114",202107016,"15",2021-07-06,"TOC_ppm",12.84
"115",202107001,"109",2021-07-06,"TIC_ppm",48.31
"116",202107001,"109",2021-07-06,"TOC_ppm",37.25
"117",202106096,"109",2021-06-23,"TIC_ppm",60.35
"118",202106096,"109",2021-06-23,"TOC_ppm",30.24
"119",202107007,"125",2021-07-06,"TIC_ppm",78.9
"120",202107007,"125",2021-07-06,"TOC_ppm",67.83
"121",202106099,"37",2021-06-23,"TIC_ppm",56.92
"122",202106099,"37",2021-06-23,"TOC_ppm",85.61
"123",202107010,"1",2021-07-06,"TIC_ppm",66.47
"124",202107010,"1",2021-07-06,"TOC_ppm",34.95
"125",202106093,"70",2021-06-23,"TIC_ppm",130.18
"126",202106093,"70",2021-06-23,"TOC_ppm",157.4
"127",202106090,"25",2021-06-23,"TIC_ppm",106.6
"128",202106090,"25",2021-06-23,"TOC_ppm",66.26
"129",202107022,"97",2021-07-06,"TIC_ppm",74.39
"130",202107022,"97",2021-07-06,"TOC_ppm",81.14
