DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
St. Denis National Wildlife Area,125,125,52.21303487,-106.0851225,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,-4,m,,Mercury,,Total,9.9529,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-09,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,125,125,52.21303487,-106.0851225,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,-2,m,,Mercury,,Total,15.549,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-09,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,125,125,52.21303487,-106.0851225,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,-0.25,m,,Mercury,,Total,24.2382,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-09,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,125,125,52.21303487,-106.0851225,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,0,m,,Mercury,,Total,26.7393,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-09,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,15,15,52.21518013,-106.0950525,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,-4,m,,Mercury,,Total,9.089,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-09,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,15,15,52.21518013,-106.0950525,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,-2,m,,Mercury,,Total,14.7845,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-09,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,15,15,52.21518013,-106.0950525,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,-0.25,m,,Mercury,,Total,33.8702,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-09,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,15,15,52.21518013,-106.0950525,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,0,m,,Mercury,,Total,20.36556667,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-10,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,2,2,52.21497495,-106.0878298,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,-4,m,,Mercury,,Total,54.5656,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-10,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,2,2,52.21497495,-106.0878298,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,-2,m,,Mercury,,Total,38.0132,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-10,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,2,2,52.21497495,-106.0878298,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,-0.25,m,,Mercury,,Total,71.0311,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-10,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,2,2,52.21497495,-106.0878298,NAD83,,,Wetland,Sample-Routine,Subsurface Soil/Sediment,2021-05-19,,,,0,m,,Mercury,,Total,62.46936667,ug/kg,Actual,,,,,,,,,"DMA-80 THG Method, historical method name not provided",2023-08-10,,,"Biogeochemistry Lab, University of Regina",
