DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Inorganic carbon,,Total,77.88,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Organic carbon,,Total,35.98,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,124,124,52.21153935,-106.080448,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Inorganic carbon,,Total,109.37,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,124,124,52.21153935,-106.080448,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Organic carbon,,Total,90.6,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,125,125,52.21303487,-106.0851225,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Inorganic carbon,,Total,87.84,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,125,125,52.21303487,-106.0851225,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Organic carbon,,Total,65.45,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,140,140,52.21303487,-106.0851225,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Inorganic carbon,,Total,85.51,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,140,140,52.21303487,-106.0851225,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Organic carbon,,Total,98.18,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,15,15,52.21518013,-106.0950525,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Inorganic carbon,,Total,53.29,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,15,15,52.21518013,-106.0950525,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Organic carbon,,Total,9.82,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,2,2,52.21497495,-106.0878298,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Inorganic carbon,,Total,79.68,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,2,2,52.21497495,-106.0878298,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Organic carbon,,Total,137.61,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,97,97,52.209647,-106.077885,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Inorganic carbon,,Total,69.08,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,97,97,52.209647,-106.077885,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-19,,,,,,,Organic carbon,,Total,56.56,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,118,118,52.2096664,-106.0844016,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-23,,,,,,,Inorganic carbon,,Total,82.72,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,118,118,52.2096664,-106.0844016,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-23,,,,,,,Organic carbon,,Total,38.9,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,25,25,52.21154965,-106.1030895,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-23,,,,,,,Inorganic carbon,,Total,106.13,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
St. Denis National Wildlife Area,25,25,52.21154965,-106.1030895,NAD83,,,Wetland,Sample-Routine,Surface Water,2021-05-23,,,,,,,Organic carbon,,Total,79.72,ppm,Actual,,,,,,,,,Aurora 1030 TOC-OI Analytical Method: NPOCTIC,,,,"Institute of Environmental Change and Society, U of R",
