DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Ambient Air,2006-07-20,,,,,,,Cloud cover,,,,,Estimated,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Ambient Air,2006-07-20,,,,,,,"Temperature, air",,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Field Msr/Obs,Surface Water,2006-07-20,,,,,,,"Depth, Secchi disk depth",,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Conductivity,,,1305,uS/cm,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Dissolved oxygen (DO),,,8.91,mg/L,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Dissolved oxygen saturation,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Oxidation reduction potential (ORP),,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,"Temperature, water",,,22.03,deg C,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,pH,,,9.36,None,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 250 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 254 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 280 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 350 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 365 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 370 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Carbon dioxide,,Dissolved,,,Actual,Not Reported,,,,,,3C,USEPA,Lab method was based on listed USEPA method,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,"Chlorophyll a, pheophytin correction unspecified",,"Filtered, lab",,,Actual,Not Reported,,,,,,,,"Standard Trichrimatic Protocol: Spectrophotometer Chl, historical method not provided ",,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Inorganic carbon,,Dissolved,8.57103915,mg/L,Actual,,,,,,,,,"Aurora 1030D TIC analysis method, historical method not provided",,,,"IECS Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Iron,,Unfiltered,,,Actual,Not Reported,0.02,mg/L,Method Detection Level,,,,,Historicla method not provided,,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Mercury,,Total,0.390037015,ng/L,Actual,,,,,,,1631,USEPA,,,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Methane,,,,,Actual,Not Reported,,,,,,3C,USEPA,Lab method was based on listed USEPA method,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Methylmercury(1+),,Unfiltered,0.424694822,ng/L,Actual,,,,,,,,,Cold-vapour atomic fluorescence spectrometry method,,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Methylmercury(1+),,Unfiltered,108.8857739,%,Calculated,,,,,,,,,Cold-vapour atomic fluorescence spectrometry method,,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Organic carbon,,Dissolved,58.12,mg/L,Actual,,,,,,,,,"Aurora 1030D TOC analysis method, historical method not provided",,,,"IECS Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Specific UV Absorbance at 254 nm,,,0.52312457,L/mg-m,Actual,,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Sulfate,,"Filtered, lab",640.98,mg/L,Actual,,,,,,,300,USEPA,Lab method was based on listed USEPA method,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,1,1,52.2130646,-106.090051,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Total carbon,,Dissolved,65.03,mg/L,Actual,,,,,,,,,"Aurora 1030D TDC analysis method, historical method not provided",,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Field Msr/Obs,Ambient Air,2006-07-20,,,,,,,Cloud cover,,,,,Estimated,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Field Msr/Obs,Ambient Air,2006-07-20,,,,,,,"Temperature, air",,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Field Msr/Obs,Surface Water,2006-07-20,,,,,,,"Depth, Secchi disk depth",,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Conductivity,,,501,uS/cm,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Dissolved oxygen (DO),,,3,mg/L,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Dissolved oxygen saturation,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Oxidation reduction potential (ORP),,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,"Temperature, water",,,20.23,deg C,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,pH,,,7.34,None,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 250 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 254 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 280 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 350 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 365 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 370 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Carbon dioxide,,Dissolved,,,Actual,Not Reported,,,,,,3C,USEPA,Lab method was based on listed USEPA method,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,"Chlorophyll a, pheophytin correction unspecified",,"Filtered, lab",,,Actual,Not Reported,,,,,,,,"Standard Trichrimatic Protocol: Spectrophotometer Chl, historical method not provided ",,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Inorganic carbon,,Dissolved,0.3207871,mg/L,Actual,,,,,,,,,"Aurora 1030D TIC analysis method, historical method not provided",,,,"IECS Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Iron,,Unfiltered,,,Actual,Not Reported,0.02,mg/L,Method Detection Level,,,,,Historicla method not provided,,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Mercury,,Total,0.749848837,ng/L,Actual,,,,,,,1631,USEPA,,,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Methane,,,,,Actual,Not Reported,,,,,,3C,USEPA,Lab method was based on listed USEPA method,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Methylmercury(1+),,Unfiltered,4.318431832,%,Calculated,,,,,,,,,Cold-vapour atomic fluorescence spectrometry method,,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Methylmercury(1+),,Unfiltered,0.032381711,ng/L,Actual,,,,,,,,,Cold-vapour atomic fluorescence spectrometry method,,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Organic carbon,,Dissolved,60.2,mg/L,Actual,,,,,,,,,"Aurora 1030D TOC analysis method, historical method not provided",,,,"IECS Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Specific UV Absorbance at 254 nm,,,1.979069767,L/mg-m,Actual,,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Sulfate,,"Filtered, lab",7.975,mg/L,Actual,,,,,,,300,USEPA,Lab method was based on listed USEPA method,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,100,100,52.20923,-106.080609,NAD83,,,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Total carbon,,Dissolved,86.91,mg/L,Actual,,,,,,,,,"Aurora 1030D TDC analysis method, historical method not provided",,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Field Msr/Obs,Ambient Air,2006-07-20,,,,,,,Cloud cover,,,,,Estimated,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Field Msr/Obs,Ambient Air,2006-07-20,,,,,,,"Temperature, air",,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Field Msr/Obs,Surface Water,2006-07-20,,,,,,,"Depth, Secchi disk depth",,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Conductivity,,,1728,uS/cm,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Dissolved oxygen (DO),,,4.48,mg/L,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Dissolved oxygen saturation,,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,Oxidation reduction potential (ORP),,,,,Actual,Not Reported,,,,,,,,,,,,,
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,"Temperature, water",,,23.72,deg C,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2006-07-20,,,,,,,pH,,,8.05,None,Actual,,,,,,,,,,,,,,
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 250 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 254 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 280 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 350 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 365 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Absorbance at 370 nm,,,,,Actual,Not Reported,,,,,,,,Standard UV spectrophotometer method based on Coble 1996 (https://doi.org/10.1016/0304-4203(95)00062-3),,,,"Biogeochemistry Lab, University of Regina",
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,Carbon dioxide,,Dissolved,,,Actual,Not Reported,,,,,,3C,USEPA,Lab method was based on listed USEPA method,,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,125N,125N,52.21303487,-106.0851225,NAD83,25,m,Wetland,Sample-Routine,Surface Water,2006-07-20,,,,,,,"Chlorophyll a, pheophytin correction unspecified",,"Filtered, lab",,,Actual,Not Reported,,,,,,,,"Standard Trichrimatic Protocol: Spectrophotometer Chl, historical method not provided ",,,,"Biogeochemistry Lab, University of Regina",
