DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2016-04-20,,,,,,,Conductivity,,,,,Actual,Not Reported,,,,,,,,,2016-05-26,,,,
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2016-04-20,,,,,,,Dissolved oxygen (DO),,,,,Actual,Not Reported,,,,,,,,,2016-05-26,,,,
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2016-04-20,,,,,,,"Temperature, water",,,,,Actual,Not Reported,,,,,,,,,2016-05-26,,,,
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2016-04-20,,,,,,,pH,,,,,Actual,Not Reported,,,,,,,,,2016-05-26,,,,
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,"1-(3,4-dichlorophenyl)-3-methyl urea",,,,,Actual,Not Reported,0.0202,mg/L,Method Detection Level,,,,,Hisotrical method not provided,2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,"Alkalinity, total",,,,,Actual,Not Reported,3.16,mg/L,Method Detection Level,,,"1001: Alkalinity, pH, Conductivity",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,Ammonia,as NH3,"Filtered, lab",,,Actual,Not Reported,0.021,mg/L,Method Detection Level,,,1161: Ammonia,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,"Chlorophyll a, pheophytin correction unspecified",,"Filtered, lab",54.598,mg/L,Actual,,,,,,,1100: Chlorophyll,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,Delta oxygen-18/oxygen-16,of H2O,,,,Actual,Not Reported,,,,,,,,Historical method not provided ,2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,"Deuterium, delta",of H2O,,,,Actual,Not Reported,,,,,,,,Historical method not provided ,2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,Nitrate,as N,"Filtered, lab",,,Actual,Not Reported,0.0073,mg/L,Method Detection Level,,,"1081: F, Cl, Nitrate, Sulphate",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,Soluble Reactive Phosphorus (SRP),as P,"Filtered, lab",,,Actual,Not Reported,0.00567,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,Sulfate,,"Filtered, lab",,,Actual,Not Reported,1.015,mg/L,Method Detection Level,,,"1081: F, Cl, Nitrate, Sulphate",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,"Total Nitrogen, mixed forms",as N,"Filtered, lab",,,Actual,Not Reported,0.0447,mg/L,Method Detection Level,,,1151: Nitrogen,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,"Total Nitrogen, mixed forms",as N,Unfiltered,,,Actual,Not Reported,0.0447,mg/L,Method Detection Level,,,1151: Nitrogen,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,"Total Phosphorus, mixed forms",as P,"Filtered, lab",,,Actual,Not Reported,0.00567,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,"Total Phosphorus, mixed forms",as P,"Filtered, lab",,,Actual,Not Reported,0.0041,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,15,15,52.21518,-106.095052,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,,,,,,,"Total Phosphorus, mixed forms",as P,Unfiltered,,,Actual,Not Reported,0.0041,mg/L,Method Detection Level,,,1191: Phosphorus,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2016-04-20,09:54:00,,,,,,Conductivity,,,198.6,uS/cm,Actual,,,,,,,,,,2016-05-26,,,,
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2016-04-20,09:54:00,,,,,,Dissolved oxygen (DO),,,,,Actual,Not Reported,,,,,,,,,2016-05-26,,,,
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2016-04-20,09:54:00,,,,,,"Temperature, water",,,,,Actual,Not Reported,,,,,,,,,2016-05-26,,,,
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Field Msr/Obs-Portable Data Logger,Surface Water,2016-04-20,09:54:00,,,,,,pH,,,8.25,None,Actual,,,,,,,,,,2016-05-26,,,,
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,09:54:00,,,,,,"1-(3,4-dichlorophenyl)-3-methyl urea",,,,,Actual,Not Reported,0.0202,mg/L,Method Detection Level,,,,,Hisotrical method not provided,2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,09:54:00,,,,,,"Alkalinity, total",,,,,Actual,Not Reported,3.16,mg/L,Method Detection Level,,,"1001: Alkalinity, pH, Conductivity",ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,09:54:00,,,,,,Ammonia,as NH3,"Filtered, lab",0.016,mg/L,Actual,,0.021,mg/L,Method Detection Level,,,1161: Ammonia,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
St. Denis National Wildlife Area,17,17,52.21463632,-106.0977933,NAD83,,,Wetland,Sample-Routine,Surface Water,2016-04-20,09:54:00,,,,,,"Chlorophyll a, pheophytin correction unspecified",,"Filtered, lab",2.293,mg/L,Actual,,,,,,,1100: Chlorophyll,ENV/CANADA,"Historical method not provided, but based on listed ENV/CANADA method",2016-05-26,,,"GIWS Lab, University of Saskatchewan",
